brand,band,current_tech,synth_dial,tech_note,names_technology,origin,marks,evidence_source,site_domain,platform,fibre_synthetic_pct,fibre_styles
Patagonia,premium,5,4,"its own product families, its own warmth index and eighteen technical filters — the deepest house technology of the thirty-six audited",yes,both,Capilene; ECONYL; FullRange; H2No; HeiQ Pure; NetPlus; Pertex Quantum; PlumaFill; Polartec Power Grid; PrimaLoft Gold Eco; Synchilla,origin_8,patagonia.com,salesforce_commerce,67,518
Finisterre,premium,4,3,,yes,licensed,Yulex(R); REPREVE(R); NetPlus(R); ECONYL(R); SEAQUAL(R); Seawool(R); CORDURA(R); COOLMAX(R); TENCEL; LYCRA,census,finisterre.com,shopify,26,113
Faherty,premium,2,2,,yes,both,Legend(TM) [house]; Supima(R); TENCEL(TM); LENZING(TM) ECOVERO(TM); REPREVE(R); LYCRA(R); Thermore(R); COOLMAX(R); PrimaLoft(R); Sorona(R); CIRCULOSE(R); REVIVA(TM); Livaeco(TM); Naia(TM); SeaWool; Creora(R); Horween(R); DriTan(TM),census,fahertybrand.com,shopify,14,403
Rodd & Gunn,premium,1,1,,yes,licensed,Good Earth Cotton(R); FibreTrace(R); EcoVerde(R); 3M Thinsulate(R); Vibram(R); Teflon(R); Supima(R); TENCEL; LYCRA,census,roddandgunn.com,salesforce_commerce,2,249
Rowan,premium,1,2,,yes,licensed,Supima(R); TENCEL,census,forrowan.com,shopify,0,49
Mizzen+Main,premium,4,5,"performance shirting built on licensed cloth — four licensed technologies against two of its own, so as technical as the houses above it without owning what it sells",yes,both,COOLMAX(R); Supima(R); TENCEL(TM)/LENZING(TM); THERMOLITE(R); PrimaLoft(R); TurboDry(TM) [house],census,mizzenandmain.com,shopify,60,122
State & Liberty,premium,3,4,no named technology and no technical filter on a complete read — it competes on a performance fabric it neither names nor owns,no,none,,census,stateandliberty.com,shopify,83,309
Rhone,premium,5,5,,yes,both,Commuter; DreamGlow; DreamState; Flex-Knit; GoldFusion; Pursuit; Quantum; Reign; TENCEL Lyocell,origin_8,rhone.com,custom,68,454
J.Lindeberg,premium,4,5,,yes,both,PrimaLoft Silver; Polartec Power Stretch; Schoeller; Coolmax; Thermore; Solarcore; Lycra; TENCEL; TX Jersey (house); VX RE:SKI (house),census,jlindeberg.com,shopify,59,1467
TravisMathew,premium,4,5,,yes,house,HEATER SERIES (house); CLOUD (house); Featherweight (house); Performance Jersey (house); TENCEL,census,travismathew.com,shopify,37,1415
Malbon,premium,3,4,"Coolcore and Gore-Tex under licence across a modest part of the range, plus one resold adidas piece. Technical clothing bought in rather than developed",yes,licensed,GORE-TEX; Sorona; Lycra; TENCEL; adidas ULTIMATE365 (stocked adidas product),census,malbon.com,shopify,52,256
Redvanly,premium,3,5,"thirty house-named fabrics for ordinary cloths: PUREpoly is polyester, ComfortChino is chino, Activedenim is denim. Naming is not technology",yes,unclear,ElementPROOF; ActiveSCUBA; PurePoly; MatchlessMerino; LuxThermal; ComfortSport; StretchKnit; ComfortChino; ActiveRib; TotalWool; LuxWOOL; MarineGrade; LightWARM,flag_sample,redvanly.com,shopify,77,163
RLX,premium,3,4,,yes,licensed,COOLMAX,census,ralphlauren.com,salesforce_commerce,60,70
johnnie-O,premium,3,3,,yes,both,PREP-FORMANCE (house); Featherweight (house); Linxter (house); PrimaLoft; Alcantara; COOLMAX; TENCEL,census,johnnie-o.com,shopify,70,450
Percival,premium,1,1,,yes,licensed,"TENCEL (Lyocell); plus unnamed generic claims: ""waterproof"" 99x / ""technical fabric"" 11x / ""membrane"" 1x",census,percivalclo.com,shopify,7,466
Wax London,premium,1,1,,no,none,"none (generic ""three-layer technical fabric"", ""8,000mm waterproof rating"", ""Technical Canvas"", ""Water Repellent Twill"" - no branded mark)",flag_sample,waxlondon.com,shopify,7,228
Hiroshi Kato,premium,3,2,,yes,house,DENIT(R); 4-WAY STRETCH SELVEDGE(R),census,kato-brand.com,shopify,0,138
Sugar Cane,premium,1,1,,yes,both,SUGAR CANE FIBER DENIM (Japanese: sato-kibi denim); named variants Okinawa Lot. 301 and Hawaii Lot. 401; AWA-AI / Awa indigo (natural indigo); licensed: TENCEL,census,sugarcane.jp,custom,,
Buck Mason,premium,2,1,,yes,both,"Toughknit(TM) (house); PrimaLoft(R), Supima, TENCEL, Bemberg(R) (licensed)",census,buckmason.com,shopify,2,179
Duck Head,premium,2,2,,yes,licensed,"LICENSED marks, read verbatim off the catalogue: PrimaLoft(R) Black Insulation on 17 products ('Featuring PrimaLoft(R) Black Insulation, this jacket offers lightweight warmth, loft, and compressibility'), and Drirelease(R) on 7 products, in composition position ('80% Drirelease(R) Recycled Polyester",census_204,www.duckhead.com,shopify,16,67
Wythe,premium,1,1,,yes,licensed,"Tencel - LICENSED (Lenzing fibre brand), 24 of 297 feed products and 5 of 120 PDPs; used as a fabric NAME IN PRODUCT TITLES, not only in a composition line: 'Tencel Gabardine Western Pant', 'Printed Corral Plaid Tencel Ranch Jacket', and in prose 'we've been working with this tencel gabardine fabric",census_followup,wythe.com,shopify,1,87
AYR,premium,1,1,,yes,unclear,CORDURA,flag_sample,ayr.com,shopify,3,73
Alex Mill,premium,1,1,,no,none,,screen_36,alexmill.com,shopify,0,54
Robert Barakett,premium,1,1,,yes,licensed,"TENCEL(TM) (licensed); ""Soft Water Finishing"" (house-named finishing process); unnamed generic ""water-repellent"" 1x",census,robertbarakett.com,shopify,21,47
Easy Mondays,premium,2,2,,yes,licensed,"Lycra - LICENSED (Invista fibre brand), on exactly 1 of 23 products, and ONLY as a composition line: '- 97% Cotton - 3% Lycra' on the Stretch Chino. MARKED composition_only. NOTHING ELSE: 0 TM/(R) glyphs or entities across all 23 PDPs and 90 content/collection pages; 0 hits for gore-tex, primaloft,",census_followup,easymondays.ca,shopify,0,22
Indochino,premium,2,1,,yes,licensed,"Lycra, TENCEL; Reda (Italian wool mill) named only in an image filename/alt on the fabrics page",census,indochino.com,custom,1,1371
Proper Cloth,premium,4,1,a 16-point fit algorithm trained on tens of thousands of bodies,yes,unclear,Coolmax (licensed); Loro Piana (licensed); Olmetex performance fabric,flag_sample,propercloth.com,custom,3,4918
Tecovas,premium,1,1,,yes,both,HOUSE: Muckoff Tread; Total Energy Command (TEC) Rubber Outsole. LICENSED: SUPIMA; REPREVE; COOLMAX / ECOMADE COOLMAX; LYCRA; PrimaLoft Silver; TurtleSkin; Stevensons H2O EverWax; Mossy Oak Original Bottomland / Original Break-Up; 3D Fit System; TENCEL,census,tecovas.com,shopify,3,71
Patrick James,premium,1,1,,no,none,,screen_36,patrickjames.com,shopify,6,268
Barbour,premium,3,2,,yes,house,HOUSE: Sylkoil (waxed cotton); Thornproof (waxed cotton); Thermo Weave. LICENSED: none found,census,barbour.com,salesforce_commerce,26,148
Baracuta,premium,1,2,,yes,both,HOUSE: Baracuta Cloth. LICENSED: COOLMAX; Thermore,census,baracuta.com,shopify,16,56
Filson,premium,3,2,,yes,both,HOUSE: Tin Cloth; Shelter Cloth; Mackinaw Wool; Rugged Twill; Cover Cloth; Oil Finish; Dry Finish; Rain Cloth. LICENSED: PrimaLoft (incl. PrimaLoft Silver); CORDURA; YKK and YKK AquaGuard; TENCEL; COOLMAX; LYCRA,census,filson.com,shopify,6,224
James Perse,premium,1,1,,yes,unclear,PrimaLoft (R); Supima (R); Lycra (R); TENCEL,flag_sample,jamesperse.com,shopify,9,278
Y.Chroma,premium,2,2,,yes,licensed,Thindown,screen_36,ychroma.com,shopify,32,37
Madhappy,premium,2,2,,no,none,"none on the house label. TENCEL recorded, composition_only (2 products)",census,madhappy.com,shopify,1,383
Kith,premium,2,2,,yes,licensed,"LICENSED, all on 'Kith for X' co-branded goods: Oakley Prizm / O Matter / Unobtainium; Salomon Contagrip / QuickLACE; OrthoLite; ASICS GEL-KAYANO / GEL-NIMBUS / FLUIDRIDE; TUMI Tracer; YETI MagSlider / DuraSip; Fender Stratocaster / ClassicGear; Yellowpop CertiLED. Plus LYCRA, composition_only. HOUS",census,kith.com,shopify,25,1153
Aimé Leon Dore,premium,1,1,,yes,licensed,GORE-TEX; Vibram; Sorona; waterproof; water-repellent; ripstop,census,aimeleondore.com,shopify,18,119
Massimo Dutti,accessible,1,1,,yes,licensed,Masters of FLAX FIBRE(R) / European Flax-Linen; REGENAGRI(R); STARFIT(R); 'technical fabric',census,massimodutti.com,custom,5,494
Vineyard Vines,accessible,3,3,,yes,both,Sankaty; On-The-Go; Saltwater; brrr; Dreamcloth(R); Shep Shirt(R); Edgartown; Harbor Shirt; THERMOLITE(R); COOLMAX(R); REPREVE(R); Basolan; TENCEL,census,vineyardvines.com,salesforce_commerce,35,669
Polo Ralph Lauren,accessible,1,1,,yes,both,PUREPRESS(R); Better Cotton(R); 3M Thinsulate(R); CORDURA(R); COOLMAX(R); Vibram(R); Super-LumiNova(R); British Millerain(R); Alsavel(R); water-repellent; four-way stretch; moisture-wicking,census,ralphlauren.com,salesforce_commerce,9,997
RRL,accessible,1,1,,no,none,,screen_36,ralphlauren.com,salesforce_commerce,1,204
J.McLaughlin,accessible,1,1,,yes,unclear,Catalina Cloth (R),flag_sample,jmclaughlin.com,shopify,4,127
Peter Millar,accessible,4,4,"a performance house with a tailoring business beside it: 197 of 352 men’s styles are synthetic and 199 carry spandex, and its own filter counts — 82 stretch, 82 wicking, 76 odour, 65 UPF of 103 polos — match the fibre content rather than overstating it. The named fabrics are all its own and all stock blends: Summer Comfort, across 51 products, is 92–94% polyester. No licensed technology anywhere in 581 product pages",yes,both,Summer Comfort; Crown Sport; Crown Crafted; Crown Comfort; Excursionist; Perth; Seaside; Hyperlight; four-way stretch; UPF; TENCEL,census,petermillar.com,salesforce_commerce,45,473
Ted Baker,accessible,1,1,,yes,licensed,TENCEL; LYCRA; BCI (Better Cotton Initiative),census,tedbaker.com,shopify,14,484
Scotch & Soda,accessible,1,1,,no,none,"none (generic ""Water-repellent"" finish claim only, no branded mark)",flag_sample,scotchandsoda.com,shopify,10,631
NN07,accessible,2,2,,yes,licensed,PrimaLoft,screen_36,nn07.com,custom,10,203
Samsøe Samsøe,accessible,2,2,,yes,licensed,"GORE-TEX; WINDSTOPPER; PrimaLoft; Thermore (EVOdown, ThermoPlume); TENCEL; LENZING ECOVERO; Naia; CIRCULOSE; European Flax; Manteco MWool; Oleatex",census,samsoe.com,custom,15,123
Les Deux,accessible,2,3,,yes,licensed,PrimaLoft,screen_36,lesdeux.us,shopify,34,342
Norse Projects,accessible,3,2,,yes,licensed,GORE-TEX; GORE-TEX WINDSTOPPER; Pertex Quantum; CORDURA; SOLOTEX; Alpinix; 37.5; TENCEL,census,norseprojects.com,shopify,10,147
Vollebak,accessible,5,5,"names no technology and holds the dial anyway: the material is the name. Graphene, aramid, ceramic, aerogel and copper garments, with Dyneema and Schoeller licensed alongside",yes,licensed,Cordura; Dyneema; Schoeller c_change,origin_8,vollebak.com,shopify,51,118
Stone Island,accessible,4,4,the Osti garment-dye laboratory — prototype research as identity,yes,licensed,-TC (Tinto Capo); Corrosion Treatment; Crinkle Reps; David-TC; ECONYL; GORE-TEX; Micro Reps; Nylon Metal; PrimaLoft; Raso Gommato; S.I. Ghost,origin_8,stoneisland.com,salesforce_commerce,30,200
A Bathing Ape,accessible,2,3,,yes,licensed,GORE-TEX; WINDSTOPPER (GORE-TEX Labs),screen_36,us.bape.com,shopify,8,489
Canada Goose,accessible,3,4,,yes,unclear,Arctic Tech (house); Recycled Organic Arctic Tech; HyBridge (house); Thermal Experience Index / TEI (house),flag_sample,canadagoose.com,salesforce_commerce,52,159
Arc'teryx,accessible,5,5,"the construction is the product — laminated seams, WaterTight zips, an owned Canadian factory",yes,both,"Arato; Coreloft; Down Composite Mapping; Fortius; GORE-TEX (PRO, ePE); Hadron; PrimaLoft; Tyono",origin_8,arcteryx.com,custom,76,204
Vince,accessible,1,1,,no,none,"none (the only trademarked material name in the men's corpus, Acetate Renew™, is on stocked CHIMI eyewear - not Vince's)",census,vince.com,salesforce_commerce,4,341
Rails,accessible,1,2,,yes,licensed,TENCEL; Lycra,census,rails.com,shopify,14,151
Club Monaco,accessible,1,1,,yes,both,CMTECH Collection (house); CORDURA; COOLMAX; ECONYL; Lycra; Manteco,census,clubmonaco.com,shopify,13,112
PAIGE,accessible,2,2,,yes,both,TRANSCEND (house); Transcend Vintage (house); Supima; TENCEL; Lycra,census,paige.com,shopify,1,152
AG,accessible,2,1,,yes,both,AG-ed(TM); AG Cloud Soft Denim(TM); Airluxe(TM) / Airluxe(TM) Sateen; AG Ultimate Stretch Fabric(TM); AG Vapor Wash(TM); Tencel Power Denim; Thermolite(R) Indigo Denim; TENCEL(R),census,agjeans.com,shopify,1,278
Ksubi,accessible,1,1,,no,none,none,flag_sample,ksubi.com,shopify,4,498
Purple,accessible,1,1,,yes,licensed,"Primaloft; Lycra (composition_only); Tencel / Carbon Zero Tencel (composition_only); ""Water Repellent"" finish descriptor",census,purple-brand.com,shopify,10,768
Diesel,accessible,2,2,,yes,both,"JoggJeans(R); TENCEL(TM); Supima; Lycra; Diesel(R) (housemark, not a technology)",census,diesel.com,salesforce_commerce,11,347
Citizens of Humanity,accessible,1,1,,yes,both,"House fabric-facet names: Perform Denim; Cashmere Denim; Archive Denim; Luxury Cotton Twill; Soft Weft; Comfort Stretch; Sueded Fleece; French Terry. Licensed/fibre: Tencel Lyocell (composition_only); Supima (composition_only); Lycra (composition_only). Also ""technical fabric"" 1",census,citizensofhumanity.com,shopify,0,74
AGOLDE,accessible,1,1,,yes,both,House fabric names: Weightless; Flyweight; Weightless Stretch; Comfort Stretch; Rigid; Non Stretch; Regenerative Cotton. Licensed: LYCRA(R) / Bio-derived LYCRA(R) EcoMade fiber (AGOLDE x LYCRA(R) EcoMade Fiber Collection); Tencel Jersey / TENCEL (composition_only in percentage lines),census,agolde.com,shopify,1,69
Fidelity Denim,accessible,1,2,,yes,none,,screen_36,fidelitydenim.com,shopify,0,25
Joe's Jeans,accessible,1,1,,yes,both,"House: AIRSOFT(TM) (site says ""a Joe's trademark""); Kinetic; Kinetic Soft; Flawless; Weightless; Vintage Stretch; Heirloom Denim; Denim Comfort Stretch; Denim Super Stretch; Denim Rigid; Earth Conscious. Licensed: LYCRA(R); ""Made with LYCRA(R)""; dualFX(R); T400 (composition_only); Tencel (compositio",census,joesjeans.com,shopify,9,243
Suitsupply,accessible,1,1,,yes,both,LICENSED/third-party mills: Vitale Barberis Canonico; Albini; Rogna; Di Sondrio; Cervotessile; E.Thomas; Weba; Reda; Testa 1919; Ferla; Baird McNutt; Thomas Mason; Pontoglio; Beste; Candiani; Silk Pro; Sidogras; Fermo Fossati; Libeco; Colombo; Opera Piemontese; Lanificio Ermenegildo Zegna; Canepa; P,census,suitsupply.com,shopify,2,887
Boggi Milano,accessible,1,1,,yes,both,"LICENSED: PrimaLoft(R); TENCEL(R) / LENZING(TM) ECOVERO(TM); Cashwool(R) (Zegna Baruffa); Thindown; Bemberg(R); Alcantara; Vitale Barberis Canonico; Drago; Albini; Reda; Loro Piana (mill credit); Lycra; Supima. HOUSE: WOOLTECH; B Tech line; B-Jersey; plus named treatments non-iron, easy care, wrinkl",census,boggi.com,salesforce_commerce,16,598
Hackett,accessible,1,2,,yes,licensed,"LICENSED: Loro Piana (17 PDPs, 'woven in Italy by Loro Piana'); Alcantara (5); Thermore (1). Generic house descriptors only: water-repellent, breathable, quick dry, easy care, waterproof backing membrane",census,hackett.com,salesforce_commerce,10,450
Eton,accessible,1,1,,yes,both,"HOUSE (shipped as structured product fields): functionName taxonomy - Wrinkle Resistant, Luster, Natural Stretch, Cooling, Warming, Garment Wash, Soft touch, Breathable, Water-repellent, Absorbing, Naturally crease resistant, Smooth feel, Rich/Heavy texture; fabricName taxonomy - Signature Twill/Pop",census,etonshirts.com,custom,2,1335
Rakho,accessible,1,3,nothing named across 84 products,no,none,,screen_36,rakho.nyc,custom,13,82
Eleventy,accessible,1,1,,yes,licensed,"LICENSED: Rain System(R) (Loro Piana; also spelt 'Rain Stystem' on one product); Zelander(R) dream by Loro Piana; Loro Piana (mill credit, 19 products); Zegna fabric (43); Alcantara (44); TENCEL (13); Lycra. No house fabric or treatment name found",census,eleventymilano.com,shopify,1,321
Borgo28,accessible,1,2,,yes,licensed,"Only third-party FIBRE brands, every one of them in composition position - nothing else. Tencel(TM) on 4 of 307 house products (verbatim: '45% cotton, 22% Tencel(TM), 17% acrylic, 16% viscose'), Modal(TM) 1, Supima 1, Lycra 2 ('65% merino wool, 33% nylon, 2% Lycra'), lyocell 3 (lower-case, generic f",census_204,borgo28.com,shopify,4,287
Incotex,accessible,1,1,,yes,both,HOUSE: Royal Batavia (19); Chinolino (12); Teknosartorial line (10); Tekno Twill (4); Teknotela (5); Tropical Wool (7). LICENSED: SUMMERTIME fabric by Loro Piana (1),census,slowear.com,shopify,4,118
Jack Victor,accessible,1,1,,yes,both,"DREAM(tm) [house]; COMFORTWEAR(tm) [house]; Loro Piana [licensed]; Storm System [licensed, Loro Piana]; Lycra; elastane; water-repellent",census,jackvictor.com,shopify,1,178
Brooks Brothers,accessible,1,1,,yes,both,HOUSE: Saxxon(tm) Wool; Non-Iron; Golden Fleece(R); Advantage Chino(R); Signature 6-Pleat Shirring(R); Original Polo(R); BrooksEase; BrooksCool. LICENSED: Supima(R); Thomas Mason; Loro Piana(R); Storm System; Thermore(R) EVOdown; Ecodown(R); OrthoLite(R); COOLMAX(R); Vibram(R); Lycra(R). APPELLATION,census,brooksbrothers.com,salesforce_commerce,6,961
J.Press,accessible,1,1,,no,none,"On house goods: NONE. Harris Tweed 7 (licensed protected cloth appellation, not a performance technology); Shaggy Dog 15 (house garment name, never carries (R)); York Street 1 (sub-line); merino 21 / elastane 2 composition_only. All true technology marks on the site sit on STOCKED third-party labels",census,jpress.com,shopify,4,638
Sunspel,accessible,1,1,,yes,both,HOUSE: Q82; Riviera. LICENSED: Supima; TENCEL(tm); SEAQUAL(R); Ventile(R); Loro Piana. APPELLATION: Sea Island Cotton; Sea Island Cashmere,census,sunspel.com,shopify,3,224
Saint James,accessible,1,1,,yes,house,"A HOUSE technical material with its own coined name: UVYL. Declared verbatim on the brand's own fabric guide - 'Anti-UV UVYL. What is UVYL? Made from polyamide (at SAINT JAMES, we choose recycled polyamide), UVYL is a synthetic material with a soft touch and anti-UV properties' - and carried into th",census_204,us.saint-james.com,shopify,4,85
Merz b. Schwanen,accessible,1,1,nothing licensed and no elastane in any clothing style. The only stretch in the range is a swim lining and one sock,yes,house,"A complete HOUSE fabric-naming system, stated on a dedicated /pages/fabrics page and carried onto the PDPs, with NOT ONE (R) or (TM) glyph anywhere. Made-in-Germany originals, each named with a weight: 'Cotton 1-Thread' (100% organic cotton, 4.6oz/sq.yd, 155g/sqm, loopwheeled, no side seams), 'Cotto",census_204,www.merzbschwanen.com,shopify,1,119
Margaret Howell,accessible,1,1,,yes,licensed,GORE-TEX [licensed]; Tencel [licensed]. Zero trademark symbols anywhere in the catalogue. MHL. and London Workroom are NOT fabric names,census,margarethowell.co.uk,shopify,0,66
Reiss,accessible,1,1,,yes,both,"HOUSE: Air-Water finish. LICENSED: TENCEL(tm). Generic/unbranded: technical fabric, water-repellent, elastane",census,reiss.com,custom,27,1431
Sandro,accessible,1,1,,no,none,,screen_36,us.sandro-paris.com,salesforce_commerce,10,345
Isabel Marant,accessible,1,1,,no,none,,screen_36,isabelmarant.com,shopify,3,107
Frame,accessible,1,1,,yes,licensed,"ROICA V550(R) [ROICA V550®]; Candiani (mill, named); Supima; TENCEL",census,frame-store.com,shopify,2,280
Theory,accessible,2,1,,yes,house,"House fabric names: Precision Ponte, Good Linen (Good Wool elsewhere on site), Regal Wool, Moonsoft Cotton, Light Bilen, Neoteric Twill, Motion Wool / Motion Wool Twill / Motion Nylon / Motion Poplin, Relay Jersey, Anemone Modal Jersey, Cosmos Slub Cotton, Kelso Nylon, Pacific Linen, Plush Melton, S",census,theory.com,salesforce_commerce,14,192
Rag & Bone,accessible,2,1,,yes,licensed,"OrthoLite(R) [dual-layer OrthoLite®]; Lycra; 'technical fabric' (descriptive, unbranded)",census,rag-bone.com,salesforce_commerce,2,234
John Varvatos,accessible,1,1,,no,none,,screen_36,johnvarvatos.com,salesforce_commerce,7,524
Sid Mashburn,accessible,1,1,,yes,licensed,"Tana Lawn(R) [Liberty Fabrics' Tana Lawn®]; Lycra; 'water-repellent' (descriptive, dry-waxed poplin)",census,shopmashburn.com,shopify,1,289
Billy Reid,accessible,1,1,,yes,licensed,Loro Piana; Dormeuil; Stylbiella (named as 'Our Go-To Fabric Mills'); 'water-repellent' (descriptive),census,billyreid.com,shopify,1,209
A.P.C.,accessible,1,1,,no,none,none; 'water-repellent' appears 9 times as a plain descriptive adjective and is not a mark,census,apc-us.com,shopify,8,106
Luca Faloni,accessible,1,1,,yes,licensed,Supima (craft/cotton editorial page only); no garment technology; 'exclusive technical fabric' unnamed,census,lucafaloni.com,custom,1,91
120% Lino,accessible,1,1,,no,none,none,census,120percento.com,shopify,0,35
Paul Smith,accessible,1,1,,yes,unclear,Loro Piana 'Storm System' (licensed); Loro Piana Green Storm System membrane,flag_sample,paulsmith.com,custom,8,566
Officine Générale,accessible,1,1,,yes,licensed,PrimaLoft; TENCEL; cupro; lyocell; elastane; 'water repellent' (unnamed finish),census,us.officinegenerale.com,shopify,5,156
Brax,accessible,4,4,,yes,both,Hi-FLEX (house); ULTRALIGHT (house); THERMO / Thermo-Hose (house); 'Blue Planet' (house sustainability label); THERMORE(R); Coolmax(R); LYCRA(R); 37.5(R); TENCEL(TM); LENZING(TM) ECOVERO(TM); Cotton made in Africa; SEAQUAL(R),census,brax.com,custom,10,162
Hartford,accessible,1,1,,yes,licensed,"Liberty(TM) / Tana Lawn(TM); TENCEL; Supima; LENZING ECOVERO(TM); EUROPEAN FLAX(TM); OEKO-TEX(R); FSC(R); GOTS; 'tissu deperlant' and 'tissu technique' (generic, unnamed)",census,hartford.fr,shopify,6,257
Our Legacy,accessible,1,1,,yes,both,GORE-TEX; CORDURA(R); POLARTEC(R); PrimaLoft(R); PERTEX(R); Thinsulate; Thermore; Loro Piana (LICENSED per standing rule); Japanese Octa(TM); Auralite(TM); Solotex(R); Polygiene StayFresh(R); EcoLife(R); OEKO-TEX(R); Vibram(R); Horween(R); YKK; Lampo; riri; Framis(TM); plus house/collab names Justic,census,ourlegacy.com,custom,6,199
Auralee,accessible,2,1,,no,none,none,flag_sample,auralee.jp,custom,6,53
Ami Paris,accessible,1,1,,no,none,,census,amiparis.com,shopify,1,177
Todd Snyder,accessible,1,1,"almost none: 3% of the range is synthetic, spandex appears in 12% of styles at 1–3% for comfort rather than performance, and there is no house-named or licensed technology anywhere. Water resistance is claimed on eight styles",yes,unclear,Ventile; TENCEL; Loro Piana (mill attribution),flag_sample,toddsnyder.com,shopify,3,623
Boglioli,accessible,1,1,,no,none,,screen_36,bogliolimilano.com,shopify,0,169
Peserico,accessible,2,2,named weather finishes — Rain System and Green Storm System — on a line of technical wool outerwear. A real technical business sitting under a cloth-and-tailoring argument,yes,unclear,Loro Piana Storm System(R) (licensed); internal membrane,flag_sample,it.peserico.com,shopify,4,210
Ring Jacket,accessible,1,1,,no,none,,screen_36,ringjacket.co.jp,custom,1,159
