brand,verdict,marks_found,rough_count,evidence_url,searched,notes
Yohji Yamamoto,false_negative,Thinsulate,1 style / 2 colourway SKUs (handles ma-c02-601-1 and -2),https://theshopyohjiyamamoto.com/products/ma-c02-601-1,"Own site search theshopyohjiyamamoto.com/search?q= plus the Shopify /search/suggest.json endpoint (which returns vendor per product) for thinsulate, gore-tex, primaloft, windstopper, polartec, cordura, pertex, water-repellent, loro piana","MARK FOUND: 'NYLON TASLAN MOD COAT WITH THINSULATE' - Thinsulate named in the brand's own product title. LINE CAVEAT: vendor is Y's for men, NOT the main line. Main-line Yohji Yamamoto POUR HOMME showed NO named technology in any search (its outerwear is wool gabardine padded jackets); note the POUR HOMME vendor tag is also applied to Y-3 items on this site (Y-3 KURO track top / pro model). Lines counted = all lines the site sells: POUR HOMME, Yohji Yamamoto, Y's, Y's for men, S'YTE, LIMI feu. Nearby but NOT named marks: S'YTE 'WATERPROOF TECH FABRIC MOUNTAIN PARKA' and Y's 'PE TWILL WATER REPELLENT COLLARLESS TRENCH COAT' - generic descriptors. Site search is heavily fuzzy (returns 400-1000 junk results for any term), so only product-NAME matches were treated as real."
Isabel Marant,confirms_none,none,0,n/a (no product hits),"Own site search unusable - us.isabelmarant.com/search and /search/suggest.json are both ROBOTS-DISALLOWED; relied on the men's collection page /collections/marant-man-coats-jackets (20 items, rendered fine) plus domain-restricted web search (site:us.isabelmarant.com) for technical, water-repellent, thinsulate, primaloft, gore-tex","Men's line only, as scoped. Full men's coats and jackets collection is leather, wool, denim, cotton canvas, corduroy, faux fur and shearling - no named technology and no technical outerwear sub-line. Caveat: verdict rests on the collection listing plus restricted web search, not on the brand's own search box, which I could not use."
A Bathing Ape,false_negative,GORE-TEX; WINDSTOPPER (GORE-TEX Labs),12,https://en.jp.bape.com/products/1j70-140-018,"us.bape.com/search?q=gore-tex (fuzzy, unusable - returns non-matching products); en.jp.bape.com/search?q=gore-tex (exact, 12 results); web search site:us.bape.com and site:int.bape.com ""gore-tex""","Clear false negative. Product page on BAPE's own JP store states ""Gore-Tex, a high-performance 3-layer fabric"" for GORE-TEX COLOR CAMO SNOWBOARD JACKET (Y99,000). Brand's own news page us.bape.com/blogs/news/bape-gore-tex-collection describes a 4-piece GORE-TEX capsule incl. GORE-TEX WIND STOPPER 1ST CAMO RELAXED COACH JACKET and WINDSTOPPER PRODUCT BY GORE-TEX LABS cap. US collection page /collections/bape-x-gore-tex is currently 0 items (sold through), which is likely why the ten-minute screen saw nothing. Marks sit in snowboard/outerwear capsules exactly as predicted."
Outerknown,false_negative,ECONYL,unknown (dedicated ECONYL collection; many swim/outerwear SKUs),https://www.outerknown.com/products/origin-one-piece-pitch-black,"outerknown.com/search?q= for gore-tex/primaloft/cordura (site search is FUZZY and unusable - 8 results for gore-tex and 14 for primaloft are all non-matching products); /search/suggest.json same; web search site:outerknown.com for primaloft OR polartec OR thermore OR cordura OR pertex, for waterproof OR water-repellent, and for econyl OR sorona OR tencel OR repreve","No membrane, insulation or weather-protection mark found - no GORE-TEX, PrimaLoft, Polartec, Cordura, Pertex, Thermore. What IS named is ECONYL (Aquafil trademark): brand runs a standing /collections/econyl and the product page reads ""regenerated ECONYL Nylon fabric"" with performance claims (holds shape, resistant to chlorine, sun cream and oils). Counts as a named technology under the task rule, but it is a recycled-fibre mark, not a technical-outerwear one - if the census only counts performance/membrane marks, this row is confirms_none."
Criquet,false_negative,brrr,"unknown (15+ colourways of brrr Long Sleeve Range Polo, plus collegiate co-brand versions)",https://criquetshirts.com/products/brrr-long-sleeve-range-polo-navy,"criquetshirts.com/search?q=brrr (fuzzy, reports 1000 results - unusable); criquetshirts.com/search/suggest.json?q=brrr (usable, returns only brrr Range Polos) and ?q=coolmax (no true match); web search site:criquetshirts.com for brrr cooling fabric and for coolmax/moisture wicking","Found exactly where the task predicted - in polos, never in outerwear. brrr (styled brrr-degree) is a licensed trademarked cooling-fabric technology. Product page: composition ""48% Polyester / 31% Cotton / 21% Modal brrr Jersey"" with the claim it uses ""cooling minerals"" to keep you cool and dry. Product titles themselves carry the mark (""brrr Long Sleeve Range Polo""), so this was visible in the catalogue all along - the outerwear-only screen just never looked at polos. No COOLMAX, no other mark found."
Bode,confirms_none,none,0,,"bode.com/search?q=gore-tex (FUZZY - reports 5 results but all are unrelated knitwear/dresses, so site search is unusable for this purpose); bode.com/search/suggest.json?q=gore-tex (same fuzzy behaviour); web search site:bode.com for gore-tex OR primaloft OR polartec OR cordura OR thinsulate OR waterproof (0 links) and for ""technical fabric"" OR ""water-repellent"" OR membrane (1 link)","No evidence found. The single domain-restricted hit was Lakewood Shorts, whose copy is literary not technical: knit from cotton/rayon ""re-engineered from the earliest technical fabrics developed for sports jerseys"", composition 53% rayon / 47% cotton. No named mark. Existing row CONFIRMED. Caveat: bode.com's own search is fuzzy, so the finding rests on the domain-restricted web search, labelled as such."
Alex Mill,confirms_none,none,0,,"alexmill.com/search?q= for primaloft (0 results), gore-tex (0 results), water-repellent (12 results) and ""technical fabric"" (456 results - fuzzy at that phrase, but exact-count and reliable on single branded terms); web search site:alexmill.com for primaloft OR thinsulate OR gore-tex OR cordura OR polartec OR water-repellent (0 links)","Site search is usable and returns true zeroes for branded marks. The only performance language is the generic descriptor ""water-repellent"" on 11 waxed-cotton/waxed-canvas jackets (Chiltern Street Jacket, Chiltern Cropped Jacket, Brighton Zip Jacket) plus a dopp kit - a finish claim on wax coating, with no trademark attached. Existing row CONFIRMED."
Greg Lauren,unclear,Nomex (composition only; DuPont mark),8,https://www.greglauren.com/products/racer-retro-puffy-cing-sz-5,"greglauren.com/search?q=nomex (exact, 8 results, all one style); greglauren.com/search/suggest.json?q=nomex; web search for Greg Lauren Racer Retro Puffy Nomex","Judgement call, flagged rather than scored. NOMEX does appear on the brand's own products - 8 Racer Retro Puffy jackets ($3,500, 7 sold out), composition ""60% NOMEX 35% COTTON 5% POLYESTER"". But it is listed ONLY in the materials block: the copy sells the jacket on upcycled vintage racing gear, deconstruction, mixed texture and a detachable faux-fur hood, and never claims flame resistance or any technical property. So the mark is a by-product of the salvaged race suits, not a technology the house markets. Under the literal rule (""a mark on a garment the brand sells counts"") this is a false negative; under the spirit of the technical-technology census it is not. Caller should decide."
Sandro,confirms_none,none,0,,"Own site search us.sandro-paris.com/en/search/?q= UNUSABLE (robots-disallowed to my fetcher, and direct requests blocked); relied on domain-restricted web search on us.sandro-paris.com for: storm system, loro piana, gore-tex, windstopper, sympatex, dermizax, primaloft, thermore, polartec, cordura, pertex, thinsulate, coolmax, thindown, schoeller, membrane, waterproof, water-repellent, technical fabric",No named technology found. Generic descriptors only: several men's coats are titled 'waterproof'/'technical fabric' (e.g. /en/p/waterproof-technical-fabric-coat/3607171960521.html) but the product page names no mark - composition is 55% polyester / 45% wool and the copy says only 'technical fabric'. Existing row CONFIRMED.
RRL,confirms_none,none,0,,"Own site search ralphlauren.com/search?q= UNUSABLE (robots-disallowed); relied on domain-restricted web search on ralphlauren.com with RRL/Double RL qualifiers for: storm system, loro piana, gore-tex, windstopper, sympatex, primaloft, thermore, polartec, cordura, pertex, thinsulate, coolmax, thindown, schoeller, membrane, waterproof, water-repellent, technical fabric; plus direct fetch of the Double RL outerwear listings /men-clothing-jackets-coats-vests/r/double-rl and /brands-double-rl-men-shop-all-cg","No named technology found on any RRL product. Every technical hit on ralphlauren.com resolved to Polo Ralph Lauren or RLX, not RRL. RRL outerwear is heritage construction (oilcloth, waxed cotton, leather, deck cloth) with no branded mark. CAVEAT: ralphlauren.com listing pages load lazily, so I saw only the first few tiles per listing - this is a domain-restricted-search finding, not a full catalogue census."
Ralph Lauren Purple Label,confirms_none,Ventile (already on file),unknown,https://www.ralphlauren.com/men-clothing-jackets-coats-vests/ventile-jacket/618861.html,"Domain-restricted web search on ralphlauren.com with 'Purple Label' qualifier for: ventile, storm system, loro piana, gore-tex, windstopper, sympatex, dermizax, primaloft, thermore, polartec, cordura, pertex, thinsulate, coolmax, thindown, schoeller, membrane, waterproof, water-repellent, technical fabric; plus direct fetch of /purple-label-outerwear-cg and /men-clothing-jackets-coats-vests/r/purple-label. Site search robots-disallowed.","EXTRA CHECK, not a new row: the existing Purple Label row ALREADY RECORDS VENTILE and nothing beyond Ventile turned up. Purple Label outerwear on site is hand-tailored wool, cashmere and suede with no named mark. SURPRISE: the Ventile products themselves (618861, 618860, 656418, 624906) are labelled Polo Ralph Lauren on their own product pages, not Purple Label - so the Ventile attribution on the Purple Label row may sit on the wrong sub-line."
Rakho,false_negative,Sorona (DuPont); Supima,~31-40,https://www.rakho.nyc/product/1s0010/,"Own site search rakho.nyc/?s= WORKED (WordPress) - ran: gore-tex, primaloft, membrane, waterproof, technical, sorona; plus domain-restricted web search on rakho.nyc","FALSE NEGATIVE. Site search for 'technical' returned 4 'Technical Trouser' products in 100% Sorona Polyester; searching 'sorona' returned 4 pages x 10 results (~31-40 products), shirts at '57% Supima Cotton / 43% Sorona Polyester' and trousers at 100% Sorona. Confirmed on Rakho's own product page 1S0010. Sorona is a DuPont-trademarked fiber and Supima a trademarked cotton mark - neither is on the spec term list, which is why the ten-minute screen missed them. Note these are named FIBERS on shirts and trousers, not a waterproof/membrane system on outerwear: none of the spec's outerwear terms (gore-tex, primaloft, membrane, waterproof) returned anything. Judgment call on whether this qualifies is yours."
Husbands,confirms_none,none,0,,"Own site search husbands-paris.com/en/search?q= WORKED (Shopify) - ran: gore-tex (0), loro piana (0), primaloft (0), technical (0), waterproof (1); plus domain-restricted web search on husbands-paris.com for storm system, windstopper, polartec, cordura, pertex, thinsulate, thermore, sympatex, membrane","No named technology. The single 'waterproof' hit is a single-breasted coat in pure wool THORNPROOF tweed - a weave description, not a branded system. Husbands is a tailoring house (wool, cashmere, mohair, linen); plainly clean, stopped early per spec. Existing row CONFIRMED."
John Varvatos,confirms_none,none,0,,"Own site search johnvarvatos.com/search?q= UNUSABLE (robots-disallowed) and /catalogsearch/result/?q= returns 404; relied on domain-restricted web search on johnvarvatos.com for: gore-tex, primaloft, thinsulate, polartec, cordura, pertex, thermore, loro piana, storm system, windstopper, sympatex, schoeller, membrane, waterproof, water-repellent, technical fabric; plus direct fetch of /coats-jackets (40 products)","No named technology found. Only generic hit is the GARVIN COAT, described as 'lightweight, water-repellent fabric' with composition 97% cotton / 3% elastane and no mark named. The 40-product coats-and-jackets listing describes materials only as cotton, wool, suede and linen. Existing row CONFIRMED."
Aspesi,complete,Thermore (incl. Thermore Ecodown sub-line),85 search hits; 3 dedicated collections (thermore / thermore-men / thermore-women / thermore-ecodown),https://aspesi.com/en-us/products/technical-fabric-coat-padded-with-thermore-wadding-w6-n-6n35-p008-01331-en,"Own site search aspesi.com/en-us/search?q= for thermore (control, 85 hits - search proven alive), gore-tex (0), primaloft (0), loro piana (0), thinsulate (0), windstopper (0), sympatex (0), thindown (0), polartec, cordura; plus restricted web search site:aspesi.com for pertex/schoeller/coolmax/dermizax/sympatex/polartec/cordura","Site search is fuzzy: polartec returned 9 polo shirts, cordura returned 19 corduroy items - both noise, no Cordura/Polartec product exists. Thermore is far bigger than one collection: a whole Thermore section incl. a Thermore Ecodown sub-line, and the mark is in product TITLES catalogue-wide (men's + women's). Ecodown is a Thermore product line, not a separate supplier, so not scored as a new mark. One legacy-platform page (www.aspesi.com/en_us/garment-dyed-wool-cordura-coat-...html) is still Google-indexed naming Cordura but now returns 404 - dead, not counted."
Y.Chroma,incomplete,"Thindown; Cognac Silk (new); OEKO-TEX (new, certification); BLUESIGN (new, certification)","Thindown on 4+ confirmed products (Altavista Down Jacket, Quatro Down Vest, Mazarin Cut-Down Jacket, Ghost Geisha Down Jacket); Cognac Silk on 2+ (Altavista, Drucken Track Jacket)",https://www.ychroma.com/products/altavista-down-jacket,"Own site search ychroma.com/search?q= for thindown (control, 19 hits - alive), windstopper, gore; restricted web search site:ychroma.com; direct reads of mazarin-cut-windstopper, varial-shirt-cut-jacket, altavista-down-jacket, quatro-jacket, drucken-track-jacket; JS text scan of /collections/outdoorwear","WINDSTOPPER IS DEAD: the product at /products/mazarin-cut-windstopper is now 'Mazarin Cut Shell' and its fabric copy reads only 'Heat impressed, breathable polyester with a C6 Class water repellent layer' - no Gore mark. The slug is the only survivor. A text scan of /collections/outdoorwear returned 0 hits for windstopper/gore/thindown/polartec/primaloft/cordura/schoeller/coolmax/pertex. The site search is fuzzy (7 hits for 'windstopper' incl. a sweater, 32 for 'gore') so its counts are worthless - all findings above are from product pages. Cognac Silk is Y.Chroma's OWN trademark for a lining, not a third-party mill mark; OEKO-TEX and BLUESIGN are certifications, not fabrics - flagged so they are not miscounted as supplier marks."
Les Deux,complete,PrimaLoft (PrimaLoft Collection Silver Insulation Loose Fill RISE),"3 (Puffer Jacket in black / allure / rosin green - one style, three colourways)",https://lesdeux.us/products/puffer-jacket-black,"Own site search lesdeux.us/search?q= for puffer (control, 3 products - alive) and primaloft (0); restricted web search site:lesdeux.com and site:lesdeux.us for primaloft/gore-tex/thindown/thermore/cordura/polartec; direct browser reads of puffer-jacket-black, padded-jacket-dark-navy, padded-parka-coat-dark-navy and the full 11-product Winter Jackets collection","IMPORTANT PROVENANCE CAVEAT: lesdeux.us blocks WebFetch (robots.txt on /search, 404 to bots on /products/) and the egress proxy refuses curl to lesdeux.com/.us, so all of this was done through the browser. Worse, the Les Deux site search does NOT index descriptions - it returns 0 for 'primaloft' even though PrimaLoft is written into the Puffer Jacket description - so a search-only sweep of this brand would produce a FALSE NEGATIVE. The Montreal Puffer URLs on file are now 404; the PrimaLoft style is the current Puffer Jacket. Padded Jacket, Padded Parka Coat, Patch Teddy, Solid Wool Coat and Quilted Jacket name nothing (generic 'quilted padding', 'wind and water repellent')."
JiyongKim,complete,GORE-TEX,"5 products (3 Gore-Tex Draped Windbreakers black/grey/sage green, Gore-Tex Boonie Hat, and Hooded Half Zip-Up - Navy which has GORE-TEX contrast patches)",https://intl.jiyongkim.net/product/detail.html?product_no=1669&cate_no=94&display_group=1,"Own site search intl.jiyongkim.net/product/search.html?keyword= for gore-tex (4 titled products - alive), windstopper (0), cordura (0); restricted web search site:jiyongkim.net and site:intl.jiyongkim.net; direct reads of the Accessories category listing (cate_no=94) and the Hooded Half Zip-Up product page","No NEW mark, but the CARRIER COUNT ON FILE IS WRONG: the row says three windbreakers, the census finds five carriers, and two of them are outside outerwear entirely - a Gore-Tex Boonie Hat in Accessories ($135) and a Hooded Half Zip-Up - Navy whose copy reads 'GORE-TEX contrast patches at shoulders and elbows'. The half-zip does not surface in a title search for gore-tex, only in the body copy, so title-only searching undercounts this brand. Note the accessory and the half-zip are marked plain GORE-TEX, not the '3L PRO' spec recorded for the windbreakers."
Prada,incomplete,Extreme-Tex; Re-Nylon (new); Graphene (new); GORE-TEX / GORE-TEX PRO (new - archived pages only),"Extreme-Tex 8 mentions on the men's Linea Rossa landing (ski jacket, snowboard jacket, windbreaker, ski jumpsuit, ski pants, hooded raincoat); Re-Nylon many (3 on the men's RTW landing alone, plus a dedicated Re-Nylon Men's Collection); Graphene 1 confirmed (Light Polyester padded jacket); GORE-TEX 9+ indexed URLs, all archived",https://www.prada.com/us/en/p/light-polyester-padded-jacket/SGB296_1XYW_F0002_S_192,"Prada's own search endpoint is unreachable by URL (/us/en/search.html?text= returns 404) and its search UI would not submit headlessly, so per method I relied on restricted web search site:prada.com and site:prada.com/us/en for gore-tex / extreme-tex / re-nylon / graphene / loro piana / polartec / primaloft / thermore / cordura, then opened product pages to confirm; plus JS text scans of the men's Linea Rossa landing (c/10187US) and men's ready-to-wear landing","THE ROW ON FILE IS BADLY SHORT. Graphene is the biggest miss: the Linea Rossa Light Polyester padded jacket ($2,950, live) reads 'Graphene(R) padding favors the regulation of body temperature'. Re-Nylon is live and large across men's RTW (e.g. /us/en/p/re-nylon-jacket/SGC220_1WQ9_F0002_S_231, 'Re-Nylon, a regenerated fabric produced from recycled and purified plastic materials'). Extreme-Tex confirmed live on the US men's site, not merely 'in Linea Rossa' as a separate section. CAVEAT ON GORE-TEX: 9+ prada.com URLs name GORE-TEX and GORE-TEX PRO, but every one I opened is FW18/FW19-season stock (codes _182/_192) and now redirects to the homepage; the men's Linea Rossa and men's RTW landings score 0 for GORE. So GORE-TEX is real Prada history but is NOT currently live on the site - do not record it as a current mark without a live URL. Note also the Graphene mention sits inside a collapsed 'Product details' accordion: a rendered-DOM scan scores it 0 and only the server HTML shows it, another false-negative trap."
Fidelity Denim,incomplete,LYCRA (new),~5 (the LOCKDOWN line: carg-chrome / winter-blu / ocean-blue / cargo-woody / vint-grey - 4 of 5 verified),https://fidelitydenim.com/products/lockdown-carg-chrome,"Own site search fidelitydenim.com/search?q= for coolmax, sorona, lycra, cordura, tencel, dyneema; restricted web search site:fidelitydenim.com for COOLMAX/Sorona/LYCRA/CORDURA/TENCEL/Dyneema/Repreve (nothing on the domain); direct reads of jimmy-clampdown-dark, torino-latte-excel-t, lockdown-carg-chrome, lockdown-winter-blu, lockdown-ocean-blue, lockdown-cargo-woody, torino-gotham, gwen-jett","A REAL FIBRE MARK EXISTS after all: the LOCKDOWN line's composition reads '36% COTTON, 40% LYOCELL, 22% VISCOSE, 2% LYCRA' - LYCRA is Invista's trademark, not a descriptive term, so this brand should no longer be a 'nothing' row. Everything else on the site really is generic: torino-gotham is '2% spandex', gwen-jett '1% elastan', jimmy-clampdown-dark '6% Elastomultiester', torino-latte-excel-t '5% Elasterel' - Elastomultiester and Elasterel are FTC generic fibre names, NOT marks, and are the likeliest reason this brand was ruled descriptive. The site search is completely unusable as evidence: it returned 41 results for 'dyneema', 109 for 'cordura', 129 for 'lycra' and 19 for 'sorona' - i.e. most of the catalogue for every term, matching nothing real. All findings above come from reading product pages directly."
Palm Angels,confirms_none,none,0,https://www.palmangels.com/en-us/man/clothing/coats-and-jackets/ | https://www.palmangels.com/en-us/search?q=gore-tex,"Main thread, 2026-09-12: rendered the site directly. Own site search proven alive by control term (ski = 9 results); gore-tex, primaloft, waterproof, technical all return ""no items"". Men's coats and jackets listing read in full (7 products).",Supersedes the earlier unclear row: the site was unreadable to the sweep agent and readable here. No ski capsule in the US store; the 7 men's outerwear titles carry no technical term.
