brand,verdict,marks_found,origin,rough_count,evidence_url,searched,notes
Cuts Clothing,names_technology,PYCA Pro; Enduratech; Versaknit; Tomboy-Cotton (house). Polartec; PrimaLoft (licensed),both,"485 product URLs; of 270 distinct product names in the site's embedded catalogue index: PYCA Pro 28, Versaknit 6, Tomboy-Cotton 4, Polartec 3, PrimaLoft 1, Enduratech 1",https://www.cutsclothing.com/pages/enduratech-fabric,"products.json and collections.json both 404 — Cuts is a headless Shopify front end — so catalogue census via /sitemap.xml -> /sitemap/products/1..13.xml = 485 product URLs, all 485 fetched (0 fail), raw server HTML grepped on word boundaries. Plus /sitemap/pages/1.xml -> /pages/enduratech-fabric. Controls — live: cotton 26340 hits; null: zzzqqxwv 0 hits; channel: 485/485 pages carry a composition line.","As expected for a performance-basics house, Cuts names four of its own fabrics, all with TM/registered symbols on the page: PYCA Pro (registered), Enduratech (TM, with a dedicated landing page), Versaknit (TM), Tomboy-Cotton (TM). It ALSO licenses two: Polartec (""Sherpa 1/4 Zip | Polar Signature-fit Polartec"", plus 1/2 Zip and Full Zip) and PrimaLoft (""Mens Primaloft Power Vest | Insulated Power Vest | Signature-fit PrimaLoft""). Raw term counts are hugely inflated (PYCA Pro 29886) because every page embeds the full catalogue index payload — the per-name counts above are taken from that index's distinct product names instead. Signature-fit / Classic-fit / Slim-fit are FIT names and are excluded."
Bonobos,names_technology,Schoeller; COOLMAX; PrimaLoft; Thinsulate; Loro Piana; Marzotto; Cone Denim / White Oak; Horween; Sebago; Lycra; TENCEL/Lyocell; Sorona; Liberty Fabric,licensed,"Term-hits across 2846 fetched product pages: PrimaLoft 65, Lycra 52, Schoeller 22, COOLMAX 18, Sorona 6, Loro Piana 2, Thinsulate 1, Liberty Fabric 134, TENCEL 270, Lyocell 62; Marzotto/Cone Denim/Horween/Sebago found in a registered-mark sweep of a 1-in-6 sample (471 PDPs)",https://bonobos.com/products/tech-5-pocket,"Catalogue census: /sitemap.xml -> 2821 /products/ URLs (of 3485 total), all fetched (2846 fetches incl. retries, 21 fail), raw server HTML grepped on word boundaries — compositions are in the server HTML inside the Next.js payload, confirmed against the rendered ""Fabric & Care"" accordion. Controls — live: cotton 13496 hits, shirt 31432; null: zzzqqxwv 0 hits; channel: 2202 of 2846 pages carry a composition line (the remainder are gift cards, bundles and accessories).","Marks verified in Bonobos' own copy, not just matched: ""Breathable tech fabric with subtle stretch sourced from Schoeller, one of the best mills in the world for technical fabrics""; ""Made with COOLMAX fabric that keeps you breezy""; ""Quilted interior with Primaloft Insulation 100G""; ""100% Loro Piana Super 140's Wool"". LORO PIANA ON A HOUSE THAT IS NOT LORO PIANA = LICENSED (standing rule). THIRD-PARTY BRANDS STOCKED BY BONOBOS EXCLUDED: all 4 Cordura hits are on Topo Designs duffels and a Billykirk tote, not Bonobos-made goods. NO HOUSE FABRIC NAME FOUND: an ""our <Name> fabric/cloth/knit/weave"" sweep over 471 PDPs returned only the descriptive ""Stretch Washed Chino"", and no Bonobos-owned TM/registered fabric mark appears. EXCLUDED as product-line names, not fabrics: Jetsetter (9109 raw), Weekday Warrior (6108), Riviera (4201), Foundation (728), Daily Grind (386) — each appears only inside product titles and collection labels and is never framed as a fabric anywhere in the catalogue."
Rothy's,names_technology,ReVelvet(TM); EverDreamy Footbed(TM); In Love Insole(TM),house,669 products + 82 site pages,https://rothys.com/products/womens-braid-clog-revelvet-bistro,"Channel 1 catalogue census: Shopify /products.json?limit=250 paged to exhaustion (3 full pages + empty 4th = 669 products), plus all 82 /pages/ URLs from sitemap_pages_1.xml. Word-boundary grep (negative lookaround, not \b) of raw JSON and server HTML, plus a trademark-symbol harvest (text immediately preceding TM / (R) / &trade; / &reg;). CONTROLS -- live: cotton 5 in the feed, cotton 6 and jacket 8 in the page HTML. null: zzzqqxwv 0 in both. channel: 494/669 products carry body_html and material names are demonstrably present in it, so the zero on licensed marks is a true zero.","Footwear-led with its own materials, exactly as expected. Zero licensed third-party marks anywhere in 669 products or 82 pages. ReVelvet(TM) is a material not a style name -- product copy reads 'Crafted with ReVelvet - soft and luxe with a suede-like finish'. EverDreamy Footbed(TM) and In Love Insole(TM) are named component technologies. There is no /pages/ fabrics or technology page and no fabric filter facet; every mark was found only by grepping product body_html plus the TM/(R) harvest, so a flag-based or nav-based screen would have returned a false zero here."
Finisterre,names_technology,Yulex(R); REPREVE(R); NetPlus(R); ECONYL(R); SEAQUAL(R); Seawool(R); CORDURA(R); COOLMAX(R); TENCEL; LYCRA,licensed,679 products + 135 site pages,https://finisterre.com/products/womens-natural-rubber-snow-peak-finisterre-3mm-yulex-chest-zip-wetsuit,"Channel 1 catalogue census: Shopify /products.json?limit=250 paged to exhaustion (679 products), plus all 135 /pages/ URLs from sitemap_pages_1.xml. Word-boundary grep + TM/(R) harvest on raw JSON and on server HTML. CONTROLS -- live: cotton 513 and jacket 502 in the feed; cotton 2718 and jacket 7685 in the page HTML. null: zzzqqxwv 0 in both. channel: 678/679 products carry body_html containing compositions and fabric prose.","Names marks freely, as predicted. Single-brand house, so every mark sits on its own garment -- no multi-brand separation needed. Yulex(R) dominates (63 feed hits, 503 on pages). SEPARATION: GORE-TEX (3 hits) and Polartec (1 hit) appear ONLY in editorial explainer pages -- /pages/what-is-fleece-is-it-sustainable and /pages/best-waterproof-jackets-for-hiking-walking -- and never on a Finisterre product, so they are not recorded as Finisterre marks. No house fabric name found: Nieuwland is a wetsuit range (a collection name, not a fabric) and 'Finisterre insulation' is generic category prose ('any Finisterre insulation or waterproof jacket' on a repair-service listing), not a mark. LYCRA and TENCEL are composition_only."
Faherty,names_technology,Legend(TM) [house]; Supima(R); TENCEL(TM); LENZING(TM) ECOVERO(TM); REPREVE(R); LYCRA(R); Thermore(R); COOLMAX(R); PrimaLoft(R); Sorona(R); CIRCULOSE(R); REVIVA(TM); Livaeco(TM); Naia(TM); SeaWool; Creora(R); Horween(R); DriTan(TM),both,"2,080 products (2,042 Faherty-vendor) + 137 site pages",https://fahertybrand.com/products/teton-valley-vest-navy-twilight-herringbone,"Channel 1 catalogue census: Shopify /products.json?limit=250 paged to exhaustion (9 pages + empty 10th = 2,080 products); sitemap cross-checked (3 product sitemaps, 137 pages). Word-boundary grep + TM/(R) harvest on raw JSON, then re-run separately over the Faherty-vendor and non-Faherty-vendor subsets. CONTROLS -- live: cotton 5,126 and jacket 711. null: zzzqqxwv 0. channel: 2,078/2,080 products carry body_html with full composition lines.","MULTI-BRAND SEPARATION: Faherty stocks 38 third-party products (Birkenstock 11, Echo 6, Hestra 4, Saucony 3, Reef 3, Quoddy 3, Le Bon Shoppe, Novesta, Manebi, Penguin, Hat Attack, Kyma). Split by the Shopify vendor field: GORE-TEX (2) and Vibram(R) (4) occur ONLY on non-Faherty vendors (e.g. saucony-mens-shadow-6000-gtx-brown) and are excluded. Horween(R) and DriTan(TM) DO sit on Faherty-vendor leather goods and are kept. Legend(TM) counted as house -- copy reads 'our signature Legend knit made from an exclusive custom fabric blend'. REJECTED as garment names: Movement(TM) (1,070 hits) and All Day(TM) -- the Movement Shirt's own copy says it is 'Crafted from our signature Supima(R) cotton blend', so Movement is a product line, not a fabric."
Rodd & Gunn,names_technology,Good Earth Cotton(R); FibreTrace(R); EcoVerde(R); 3M Thinsulate(R); Vibram(R); Teflon(R); Supima(R); TENCEL; LYCRA,licensed,796 product URLs (849 page fetches incl. AU fallback) + 25 content pages,https://www.roddandgunn.com/us/footwear/boots/remarkables-vibram-boot/009639-02.html,"No product feed exists -- Salesforce Commerce Cloud, /products.json returns 410 and /sitemap.xml 404. Channel 2 per-PDP census: /sitemap_index.xml -> /au/sitemap_0-product.xml -> 796 product URLs, fetched as /us/ with an /au/ refetch for the 180 that return 410 (region-gated, not missing), plus the 25 content pages in /au/sitemap_3.xml. Word-boundary grep + TM/(R) harvest on server HTML. CONTROLS -- live: cotton 4,442 and jacket 4,231 across the PDP corpus; cotton 105 on content pages. null: zzzqqxwv 0 in both. channel: verified on a sample PDP BEFORE scanning that the Description block with composition prose is present in the server HTML (not JS-injected).","DOMAIN PROBLEM: the apex roddandgunn.com serves a TLS certificate error (Chrome 'Privacy error') and will not load. The live site is www.roddandgunn.com and it forces a region path (/us, /au); the census was run there. Single-brand house, so all marks are third-party licences applied to its own product; no house fabric or technology name found in 849 product pages or 25 content pages. FALSE POSITIVE REJECTED: '37.5' matched 128 times but every hit is a size-chart measurement (inseam/chest cm), not 37.5(R) Technology -- caught by pulling context on the top-frequency term. Good Earth Cotton(R) is the most common mark (1,343 hits)."
Rowan,names_technology,Supima(R); TENCEL,licensed,164 products + 49 site pages,https://forrowan.com/products/asher-long-sleeve-standard-tee,"Domain established first (see notes). Channel 1 catalogue census on forrowan.com: Shopify /products.json?limit=250 paged to exhaustion (1 page + empty 2nd = 164 products), plus all 49 /pages/ URLs from sitemap_pages_1.xml. Word-boundary grep + TM/(R) harvest on raw JSON and server HTML. CONTROLS -- live: cotton 387 and jacket 352 in the feed; cotton 496 and jacket 131 in the page HTML. null: zzzqqxwv 0 in both. channel: 164/164 products carry body_html.","DOMAIN: rowansport.com does NOT resolve, and neither do www.rowansport.com, rowansports.com, rowanrun.com, rowangolf.com, rowan.co or rowanwear.com. rowan.com is Rowan Digital Infrastructure (data centres), rowanapparel.com is an Albuquerque embroidery shop, shoprowan.com redirects to a marketing agency, wearrowan.com is a 'Launching Soon' placeholder. The brand's own store is forrowan.com -- 'Rowan - Character Worn Well', a California clothing brand on Shopify. Both marks are fibre brands: Supima(R) appears in marketing prose ('super-soft 100% Supima(R) cotton') and as a nav collection ('Supima(R) Cotton Classics'), so it is more than a composition line; TENCEL appears only in body prose ('Made from luxe Tencel, a plant-based, eco-friendly fiber'). Flag both composition_only in character. No house fabric or technology name exists anywhere on the site."
Mizzen+Main,names_technology,COOLMAX(R); Supima(R); TENCEL(TM)/LENZING(TM); THERMOLITE(R); PrimaLoft(R); TurboDry(TM) [house],both,"1,283 of 1,291 product pages + 21 technology/learn/compare pages",https://www.mizzenandmain.com/built-of-better-fiber,"Headless Shopify on a Next.js storefront -- /products.json returns 404 on the storefront domain, so channel 1 is unavailable. Channel 2 per-PDP census: /sitemap.xml (2,200 URLs, single file) -> 1,291 /products/ URLs, all fetched as server HTML (1,283 returned content), plus /built-of-better-fiber, /about-us, /better-menswear, 11 /learn/ pages and 7 /compare/ pages. Word-boundary grep + TM/(R) harvest. CONTROLS -- live: cotton 6,981 and jacket 54,450. null: zzzqqxwv 0. channel: fabric names and composition prose confirmed present in the server HTML, not only in rendered text.","METHOD CHECK -- PASSED. The four known licensed technologies plus the house mark all surfaced from the technology page alone (/built-of-better-fiber: COOLMAX(R), Supima(R), Tencel, Thermolite(R), TurboDry(TM)), and the full 1,283-page catalogue pass added a fifth licence, PrimaLoft(R) (63 hits, e.g. /products/black-brentwood-vest). IMPORTANT: Thermolite(R) and PrimaLoft(R) sit outside the spec's term list -- Thermolite was caught ONLY by the TM/(R) harvest. A pass restricted to the given term list would have found three of five licences here and would have missed the house mark entirely."
State & Liberty,none,,none,0,https://stateandliberty.com/pages/our-fabrics,"Catalogue census: Shopify /products.json?limit=250 paged to exhaustion - 778 products over 5 pages, page 6 empty. Plus /pages/our-fabrics, /collections.json, and every product option facet (Fabric Name / Fabric Type / Material). live: cotton 69/778 and jacket 99/778 return hits in the same channel. null: zzzqqxwv 0/778. channel: body_html present and >50 chars on 768/778 and carries fabric copy (e.g. 'Soft Four-way stretch performance fabric with printed pattern').","All 29 terms zero, and no house fabric name either. Fabric language is entirely unbranded description - 'performance fabric' 819 mentions, 'stretch' 2835, 'moisture' 433, 'wicking' 433 - with no proper noun attached. The brand's own Our Fabrics page names nothing; its entire claim is 'performance fabrics with 4-way stretch'. Fabric facet values are patterns ('Tan and White Windowpane') and generic types ('Wool','Knit'), which fail the fabric-name test. 'waterproof' is genuinely absent: only 22 'water' strings exist in the whole catalogue, all swim copy or the 'Watertown' shirt name - a substring match would have produced a false positive there."
J.Lindeberg,names_technology,PrimaLoft Silver; Polartec Power Stretch; Schoeller; Coolmax; Thermore; Solarcore; Lycra; TENCEL; TX Jersey (house); VX RE:SKI (house),both,888,https://www.jlindeberg.com/products/blizzard-balaclava-black,"Catalogue census: Shopify /products.json?limit=250 paged to exhaustion - 7,755 products over 33 pages, page 34 empty. (A first pass capped at 30 pages returned exactly 7,500 and looked complete; it was not - do not stop on a round number.) live: cotton 1070/7755, jacket 774/7755. null: zzzqqxwv 0/7755. channel: body_html carries full fabric and construction copy.","By far the densest of the six. Licensed marks by product count: PrimaLoft 211, Polartec 33, Solarcore 28, Schoeller 19, Coolmax 3, Thermore 1. House fabric names: TX Jersey 444, VX RE:SKI 17 (28 for the bare 'RE:SKI'). Lycra 64 and TENCEL 70 are composition_only. rough_count 888 is a deduplicated union of products carrying at least one named mark, not a sum of the per-term counts. Unbranded attribute copy sits on top of that: water-repellent 575, waterproof 250, technical fabric 67."
