brand,domain,status,platform,feed,feed_count,notes
Alex Crane,alexcrane.co,live_store,shopify,shopify_products_json,30,"Note the .co TLD. Canonical host www.alexcrane.co. (c) 2016-2026, Alex Crane. /products.json 200, 30 on page 1 (paginates); one product sitemap file."
Industry of All Nations,industryofallnations.com,live_store,shopify,shopify_products_json,30,"Shopify; (c) 2026, INDUSTRY OF ALL NATIONS(TM). /products.json 200, 30 on page 1 (paginates); one product sitemap file."
Marine Layer,marinelayer.com,live_store,shopify,shopify_products_json,2609,Shopify; (c) 2026 Marine Layer. /products.json 200 (30/page). 3 product sitemaps = 2609 product URLs.
Cuts Clothing,cutsclothing.com,live_store,shopify,sitemap_products,485,"Shopify Hydrogen (headless): cdn.shopify.com assets present but /products.json 404s, so the JSON feed is NOT available. Census via Hydrogen sitemaps /sitemap/products/N.xml - 13 files = 485 product URLs. (c) 2026 Cuts Clothing(R)."
Bonobos,bonobos.com,live_store,custom,sitemap_products,2821,"First-party but footer reads (c)2026 Phoenix Retail, LLC - the licensed operator (brand owned by WHP Global); still the brand's own store. Custom platform, /products.json returns HTML. Flat /sitemap.xml with 3485 URLs, 2821 of them product pages."
Vuori,vuoriclothing.com,live_store,shopify,sitemap_products,2829,"vuoriclothing.com, not vuori.com. Headless Shopify: cdn.shopify.com assets but /products.json 404. Flat sitemap of 3237 URLs, 2829 product pages. (c) 2026 Vuori, Inc."
Rothy's,rothys.com,live_store,shopify,shopify_products_json,7425,"Shopify; /products.json 200 (30/page). Sitemap index is large (181 entries, 36 product files) because of multi-locale storefronts; 15 sampled files gave 7425 URLs, so the 7425 is a PARTIAL count and heavily locale-duplicated."
Lululemon,shop.lululemon.com,live_store,salesforce_commerce,sitemap_products,22373,"Store is on shop.lululemon.com (lululemon.com is the corporate/landing host). SFCC/Demandware markers. 3 product sitemaps = 22373 URLs, but these span en_US + en_CA + fr_CA, so distinct US SKUs are roughly a third of that. /products.json 404."
Alo,aloyoga.com,live_store,shopify,shopify_products_json,14643,"Brand trades as Alo / Alo Yoga; store is aloyoga.com. Shopify, /products.json 200 (30/page). Sitemap index has 1032 product-sitemap entries (multi-market); 15 sampled = 14643 URLs, so PARTIAL and locale-duplicated."
Southern Tide,southerntide.com,live_store,shopify,shopify_products_json,1607,Shopify; (c) 2026 Southern Tide. /products.json 200 (30/page). 2 product sitemaps = 1607 product URLs.
Rhoback,rhoback.com,live_store,shopify,sitemap_products,597,"Shopify Hydrogen (headless): /products.json 404 despite cdn.shopify.com assets. Census via /sitemap/products/N.xml - 36 files, 597 product URLs."
Criquet,criquetshirts.com,live_store,shopify,shopify_products_json,1261,Domain is criquetshirts.com (not criquet.com). Footer literally says 'Powered by Shopify'. /products.json 200 (30/page). 2 product sitemaps = 1261 URLs.
Taylor Stitch,taylorstitch.com,live_store,shopify,shopify_products_json,2781,Shopify; (c)2009-2026 Taylor Stitch(R). /products.json 200 (30/page). 4 product sitemaps = 2781 URLs. Page HTML mentions magento/bigcommerce strings (third-party review/analytics scripts) - Shopify is the real platform.
Outerknown,outerknown.com,live_store,shopify,shopify_products_json,541,Shopify; (c) 2026 Outerknown. /products.json 200 (30/page). One product sitemap = 541 URLs.
Patagonia,patagonia.com,live_store,salesforce_commerce,sitemap_products,2119,"SFCC/Demandware markers; (c) 2026 Patagonia, Inc. /products.json returns 410 Gone. /sitemap.xml -> sitemap_0-product.xml = 2119 product URLs."
Finisterre,finisterre.com,live_store,shopify,shopify_products_json,3696,"UK brand, ships US; (c) Copyright 2026 Finisterre. Shopify, /products.json 200 (30/page). 6 product-sitemap entries; sampled files total 3696 URLs (multi-currency duplicates likely)."
Faherty,fahertybrand.com,live_store,shopify,shopify_products_json,2076,"Domain is fahertybrand.com, not faherty.com. Shopify; (c) 2026, Faherty Brand. /products.json 200 (30/page). 3 product sitemaps = 2076 URLs."
Rodd & Gunn,roddandgunn.com,live_store,salesforce_commerce,sitemap_products,791,NZ brand with US storefront. SFCC/Demandware. /products.json returns 410. /sitemap.xml -> sitemap_0-product.xml = 791 product URLs.
Rowan,forrowan.com,live_store,shopify,shopify_products_json,164,"Confirms the spec's warning: rowansport.com does not resolve; the store is forrowan.com. Footer (c)2026 ForRowan, LLC. Shopify, /products.json 200 (30/page). One product sitemap = 164 URLs. Do not confuse with Rowan the yarn brand (knitrowan.com)."
Mizzen+Main,mizzenandmain.com,live_store,shopify,sitemap_products,1291,"Canonical host www.mizzenandmain.com. Headless Shopify - /products.json 404 (an earlier WebFetch of it was rate-limited by robots.txt, a false negative). Flat sitemap of 2198 URLs, 1291 product pages. (c) 2012-2026 Mizzen+Main."
State & Liberty,stateandliberty.com,live_store,shopify,shopify_products_json,1546,Shopify; /products.json 200 (30/page). One product sitemap = 1546 URLs.
Rhone,rhone.com,live_store,custom,category_crawl,23,"SILENT-ZERO TRAP: /products.json 404s AND /sitemap.xml contains only 8 utility URLs (cart, search, store-locator) with zero product entries - a sitemap census here returns 0 products from a fully live store. Nuxt + Contentful headless front end (some cdn.shopify.com assets present). Only viable channel is category crawl: /collections/mens-view-all/ renders 23 product links per page (paginated). /collections/mens-all returns a 500."
J.Lindeberg,jlindeberg.com,live_store,shopify,shopify_products_json,14757,"Shopify; (c) 2026 J.Lindeberg. /products.json 200 (30/page). Sitemap index has 184 product-sitemap entries across many markets; 15 sampled = 14757 URLs, so PARTIAL and heavily locale-duplicated."
TravisMathew,travismathew.com,live_store,shopify,shopify_products_json,2456,www.travismathew.com redirects to the apex travismathew.com. Shopify (Topgolf Callaway brand). /products.json 200 (30/page). 3 product sitemaps = 2456 URLs.
Malbon,malbon.com,live_store,shopify,shopify_products_json,1070,"DOMAIN MOVED: malbongolf.com now redirects to malbon.com - use malbon.com. (c) MALBON 2026. Shopify, /products.json 200 (30/page). 2 product sitemaps = 1070 URLs."
Redvanly,redvanly.com,live_store,shopify,shopify_products_json,1050,"Canonical host www.redvanly.com. (c) 2026 REDVANLY. Shopify, /products.json 200 (30/page). 2 product sitemaps = 1050 URLs."
RLX,ralphlauren.com,live_store,salesforce_commerce,sitemap_products,9894,"RLX has NO standalone store or domain - it is a Ralph Lauren sub-brand sold at ralphlauren.com/brands-men-rlx-cg. SFCC/Demandware; (c) COPYRIGHT 2026 RALPH LAUREN MEDIA LLC. Deep pages intermittently return 'Access to this page has been denied' (PerimeterX/HUMAN). robots.txt points to /index -> seocontent_n_productsitemap_0 = 9894 URLs, but that is ALL of Ralph Lauren, not RLX-only; RLX must be filtered from the category tree."
johnnie-O,johnnie-o.com,live_store,shopify,sitemap_products,13421,"Hyphenated domain johnnie-o.com. Headless Shopify: /products.json 404. Sitemap index has 14 product files totalling 13421 URLs - implausibly large for the catalog, so almost certainly locale/currency duplicates; dedupe before trusting."
Percival,percivalclo.com,live_store,shopify,shopify_products_json,827,"Domain is percivalclo.com (percival.com is unrelated). (c) Percival Menswear 2026. Shopify, /products.json 200 (30/page). One product sitemap = 827 URLs."
Wax London,waxlondon.com,live_store,shopify,shopify_products_json,470,"(c) 2026 Wax London Limited. Shopify, /products.json 200 (30/page). One product sitemap = 470 URLs."
Hiroshi Kato,kato-brand.com,live_store,shopify,shopify_products_json,175,"Confirms the spec's warning: katousa.com is a model-railway maker, not this brand. Real store is kato-brand.com, footer (c) 2026 HIROSHI KATO. Shopify, /products.json 200 (30/page). One product sitemap = 175 URLs."
Sugar Cane,sugarcane.jp,brand_site_no_shop,custom,none_found,0,"No first-party store anywhere. sugarcane.jp is a WordPress brand/lookbook site owned by Toyo Enterprise ((c) TOYO ENTERPRISE CO.,LTD.) with no cart and no product feed (18 sitemap URLs, none products). Selling happens on the parent's multi-brand store.toyo-enterprise.co.jp/sugarcane (JP-only, not a Sugar Cane domain) and through third-party retailers (Hinoya, Self Edge, Franklin & Poe) - all of which are retailers, not first-party."
Buck Mason,buckmason.com,live_store,shopify,sitemap_products,994,"Headless Shopify: /products.json 404. /sitemap.xml is an index with a single child sitemap-0.xml containing 2213 URLs, of which 994 are /products/ pages (plus 414 collections). (c) BUCK MASON."
Wythe,wythe.com,live_store,shopify,shopify_products_json,298,"DOMAIN MOVED: wythenewyork.com redirects to wythe.com - use wythe.com. (c) 2026 Wythe. Shopify, /products.json 200 (30/page). One product sitemap = 298 URLs."
AYR,ayr.com,live_store,shopify,shopify_products_json,193,"Canonical host www.ayr.com. Shopify, /products.json 200 (30/page). One product sitemap = 193 URLs. Sitemap index has no blog child."
Alex Mill,alexmill.com,live_store,shopify,shopify_products_json,673,"(c) Alex Mill. Shopify, /products.json 200 (30/page). One product sitemap = 673 URLs."
Robert Barakett,robertbarakett.com,live_store,shopify,shopify_products_json,261,"Footer says '(c) 2026, Robert Barakett Powered by Shopify'. /products.json 200 (30/page). One product sitemap = 261 URLs."
Easy Mondays,easymondays.ca,live_store,shopify,shopify_products_json,23,"DEAD DOMAIN: easymondays.com does not resolve (DNS_PROBE_FINISHED_NXDOMAIN). The live store is the Canadian easymondays.ca, (c) 2026 Shop Easy Mondays. Shopify; /products.json returned the FULL catalog of 23 products (under the 30/page limit); product sitemap shows 24. Genuinely tiny catalog - a low count here is real, not a crawl failure."
Indochino,indochino.com,live_store,custom,sitemap_products,2198,"(c) 2006-2026 INDOCHINO Inc. Custom made-to-measure platform, no Shopify/SFCC/Magento markers; /products.json 404. Flat /sitemap.xml with 2650 URLs, 2198 of them product pages."
Proper Cloth,propercloth.com,live_store,custom,category_crawl,102,"(c) 2026 Proper Cloth, NYC. Custom made-to-measure platform; /products.json 404 and there is no product sitemap. /sitemap.xml has 236 URLs of which 102 sit under /shop/ - these are mostly category/collection pages (85 are 3+ levels deep), not discrete SKUs, so a sitemap census undercounts badly. /sitemap_index.xml 404s. Real catalog is fabric x style combinations, only reachable by crawling the shop tree."
Tecovas,tecovas.com,live_store,shopify,sitemap_products,534,"Headless Shopify (cdn.shopify.com assets, Shopify object). /products.json 404s; /sitemap.xml -> sitemap_products.xml = 534."
Patrick James,patrickjames.com,live_store,shopify,shopify_products_json,1276,Copyright 2026 Patrick James. www 301s to apex. products.json paginated = 1276; 2 product sitemaps agree.
Barbour,barbour.com,live_store,salesforce_commerce,sitemap_products,757,"Demandware markers; 'Copyright J. Barbour and Sons Ltd 2026'. US locale is /us/ ; no /sitemap.xml at root, robots declares /us/sitemap_index.xml -> sitemap-product_us.xml = 757."
Baracuta,baracuta.com,live_store,shopify,shopify_products_json,302,"Footer is (c) 2026 WP LAVORI IN CORSO SRL, the Italian house that owns/licenses Baracuta - still the brand's own store (baracuta.com, own G9 collections)."
Filson,filson.com,live_store,shopify,shopify_products_json,999,"COPYRIGHT 2026, C.C. FILSON CO. products.json paginated = 999."
James Perse,jamesperse.com,live_store,shopify,shopify_products_json,1856,(c) 2026 James Perse Enterprises Inc.
Y.Chroma,ychroma.com,live_store,shopify,shopify_products_json,45,"(c) 2026 Y.Chroma Apparel. Genuinely small catalog (45), not a fetch failure."
Madhappy,madhappy.com,live_store,shopify,shopify_products_json,1055,(c)2026 Madhappy.
Kith,kith.com,live_store,shopify,shopify_products_json,5000,"(c) 2026 KITH NYC. 5000 is my 20-page x 250 pagination cap, not the catalog size - 37 product sitemaps, true count is larger. Re-run with a higher cap."
Aimé Leon Dore,aimeleondore.com,live_store,shopify,shopify_products_json,659,"No footer copyright line; Shopify confirmed via Shopify object + cdn.shopify.com, own collections/stockists."
Massimo Dutti,massimodutti.com,live_store,custom,category_crawl,580,"Inditex in-house stack (no Shopify/Demandware/Magento markers). US store at /us/. NO US product sitemap exists: sitemap-index-products-md.xml lists 27 countries and the US is not one; sitemap-products-md-us-0.xml.gz = 404. Only census route is the US categories sitemap (gzip, needs DecompressionStream) = 580 category URLs."
Vineyard Vines,vineyardvines.com,live_store,salesforce_commerce,sitemap_products,1513,"(c) 2026 Vineyard Vines. Flat /sitemap_0.xml = 2202 locs, 1513 of them /product/ URLs."
Polo Ralph Lauren,ralphlauren.com,live_store,salesforce_commerce,sitemap_products,9894,(c) COPYRIGHT 2026 RALPH LAUREN MEDIA LLC. robots.txt declares one sitemap at /index -> /seocontent?n=productsitemap_0 = 9894 product URLs. Site is behind HUMAN/PerimeterX: after ~20 requests everything returned 307 and 'Access to this page has been denied / Press & Hold'. Throttle any census.
RRL,ralphlauren.com,live_store,salesforce_commerce,category_crawl,0,"RRL has NO domain of its own - rrl.com does not resolve (ERR_CONNECTION_RESET). It is a brand section at ralphlauren.com/brands-double-rl-men. Ralph Lauren's product sitemap does not label sub-brand (only 6 of 9894 URLs contain 'double-rl'), so RRL can only be censused by crawling its category pages, which are behind the same PerimeterX challenge."
J.McLaughlin,jmclaughlin.com,live_store,shopify,sitemap_products,996,(c) 2026 J.McLaughlin. Headless Shopify - /products.json 404s; robots declares /sitemap-products.xml = 996.
Peter Millar,petermillar.com,live_store,salesforce_commerce,sitemap_products,2099,Copyright 2026 Peter Millar. products.json returns 410; sitemap_index.xml -> sitemap_0-product.xml = 2099.
Ted Baker,tedbaker.com,live_store,shopify,sitemap_products,7818,"(c)2025 ABG-TB IPCO (UK) Limited - brand now owned by Authentic Brands Group; note the copyright year is stale (2025). products.json responds 200 but returns only 38 products (throttled/limited), so it is a false-zero trap - the 24 product sitemaps total 7818."
Scotch & Soda,scotchandsoda.com,live_store,shopify,shopify_products_json,3898,"scotch-soda.com 301s to scotchandsoda.com - the hyphenated domain is NOT the store. /us/en path 404s (footer still says (c) 2026 Scotch & Soda, Powered by Shopify). products.json = 3898; 20 product sitemaps total 7850."
NN07,nn07.com,live_store,custom,sitemap_products,1064,"Centra platform. Apex serves a 'Select Your Market' splash; US store is /en/us/. robots lists 18 per-market sitemaps; /en/us/sitemap.xml is flat = 1064 URLs (product pages sit at /en/us/<slug>, so no /product/ path to filter on)."
Samsøe Samsøe,samsoe.com,live_store,custom,sitemap_products,1133,Centra platform; (c) 2026 Samsoe Samsoe. /sitemap_index.xml holds 84 children across 42 locales; the US one is /en-US/sitemap/products.xml = 1133.
Les Deux,lesdeux.us,live_store,shopify,sitemap_products,863,"(c) 2026 Les Deux Inc. US store is the .us domain (lesdeux.com is the EU/global site). Headless Shopify - products.json 404s; flat /sitemap.xml = 1247 locs, 863 of them /products/."
Norse Projects,norseprojects.com,live_store,shopify,shopify_products_json,447,"www 301s to apex. products.json = 447, sitemap_products agrees (448)."
Vollebak,vollebak.com,live_store,shopify,shopify_products_json,231,"(c) 2026 Vollebak. Auto-redirects to /en-us. 231 is the en-us locale; the 4 locale product sitemaps total 588, so do not double-count locales."
Stone Island,stoneisland.com,live_store,salesforce_commerce,sitemap_products,1166,Demandware markers. US locale /en-us. products.json 410; sitemap_index.xml -> sitemap_0-product.xml = 1166.
A Bathing Ape,us.bape.com,live_store,shopify,shopify_products_json,927,"(c) 2026 BAPE. bape.com is the Japanese/global corporate site - the US store is the us. subdomain. products.json = 927, sitemap agrees (928)."
Canada Goose,canadagoose.com,live_store,salesforce_commerce,sitemap_products,1611,US locale /us/en/. 13 sitemaps in robots; product sitemap is named sitemap-Custom_sitemap_0-Product-CanadaGooseCA.xml (SFCC site id) = 1611.
Arc'teryx,arcteryx.com,live_store,custom,sitemap_products,474,No Shopify/Demandware/Magento markers - custom/headless stack. products.json 404. /sitemap.xml -> 2 children holding ~75k multi-locale URLs; only 474 are US product pages (/us/en/shop/). Filter by locale or you will census 75k rows.
Vince,vince.com,live_store,salesforce_commerce,sitemap_products,2521,(c) 2026 Vince. products.json 404; sitemap_0-product.xml = 2521.
Rails,rails.com,live_store,shopify,shopify_products_json,1966,"railsclothing.com 301s to rails.com - use rails.com. (c) Rails International 2026. products.json = 1966, sitemap agrees (1967)."
Club Monaco,clubmonaco.com,live_store,shopify,shopify_products_json,511,"(c) 2026 - Club Monaco. products.json = 511 for the US store; there are 9 locale product sitemaps totalling 4608, so the sitemap route over-counts for a US census."
PAIGE,paige.com,live_store,shopify,sitemap_products,1001,"www 301s to apex. Headless Shopify - products.json 404s; flat /sitemap.xml = 1252 locs, 1001 of them /products/."
AG,agjeans.com,live_store,shopify,shopify_products_json,1098,"(c) AG ADRIANO GOLDSCHMIED 2026. products.json = 1098, sitemap agrees (1099)."
Ksubi,ksubi.com,live_store,shopify,shopify_products_json,829,"(c) 2026 KSUBI US - apex serves the US store directly. products.json = 829, sitemap agrees (830)."
Purple,purple-brand.com,live_store,shopify,shopify_products_json,1347,"(c) 2026 PURPLE BRAND, with its own Stockists/Stores/Careers pages - first party confirmed. NOT purplebrand.com (marketing agency). Search also surfaced officialpurple.com, purplejeansbrandus.com, and several .shop clones that self-describe as the 'Official Purple Jeans Store' - none are the brand."
Diesel,diesel.com,live_store,salesforce_commerce,sitemap_products,1735,Copyright 2026 Diesel SpA. US locale /en-us. Root /sitemap_index.xml is empty - robots lists 7 locale indexes; /en-us/sitemap_index.xml -> sitemap-products_en_US.xml = 1735.
Citizens of Humanity,citizensofhumanity.com,live_store,shopify,shopify_products_json,985,"(c) 2026, Citizens of Humanity. products.json = 985, sitemap agrees."
AGOLDE,agolde.com,live_store,shopify,shopify_products_json,684,"No footer copyright line; Shopify confirmed via Shopify object. products.json = 684, sitemap 683. Same parent as Citizens of Humanity but a separate first-party store."
Fidelity Denim,fidelitydenim.com,live_store,shopify,shopify_products_json,205,"(c) 2026 Fidelity Denim. products.json = 205, sitemap 206."
Joe's Jeans,joesjeans.com,live_store,shopify,shopify_products_json,2294,"Footer copyright not rendered in text; Shopify confirmed. products.json = 2294, sitemap agrees (2295)."
Suitsupply,suitsupply.com,live_store,shopify,sitemap_products,1344,Headless Shopify. products.json 404s. /sitemap.xml points at shopify-o2.suitsupply.com/sitemap/products/1..20.xml (that host 301s back to the apex); the 20 product sitemaps total 1344.
Boggi Milano,boggi.com,live_store,salesforce_commerce,sitemap_products,1250,"(c) Boggi Milano 2026. Domain is boggi.com, not boggimilano.com. US locale /en_US/. /sitemap.xml holds 191 per-locale children; sitemap-pages-en-us-PRODUCT-1.xml = 1250."
Hackett,hackett.com,live_store,salesforce_commerce,sitemap_products,3705,"(c) 2026 Hackett Ltd. US storefront /us/ is live but its sitemap is MISCONFIGURED: /us/sitemap_index.xml and /us/en_us/sitemap_index.xml both serve the Swiss /ch/ sitemap (3705 products at /ch/ paths), and robots.txt lists no US sitemap at all (only uk/de/es/fr/ch/intl/eu). /intl/sitemap_0-product.xml = 1229 is the closest clean feed. Treat 3705 as Swiss-locale URLs, not US."
Eton,etonshirts.com,live_store,custom,sitemap_products,6129,"Centra platform. Domain is etonshirts.com (not eton.com). robots lists 62 locale sitemaps; /us/en/sitemap.xml is flat = 6576 locs, of which 6129 are /product/."
Rakho,rakho.nyc,live_store,custom,sitemap_products,29,"WooCommerce on WordPress; (c)2026 RAKHO. Only a .nyc domain - no rakho.com store found. Flat /sitemap.xml = 37 locs, 29 of them /product/. Cheaper and more complete: /wp-json/wc/store/products?per_page=100 returns 84, so the sitemap is undercounting - use the WC Store API."
Eleventy,eleventymilano.com,live_store,shopify,shopify_products_json,1045,"(c) 2026 - ELEVENTY, Eleventy World S.r.l., Via Santa Cecilia 5 Milan, VAT IT08848610963 - first party confirmed. Auto-redirects to /en-us; 1045 is that locale (all-locale product sitemaps total 7854). eleventymilano.it is the Italian site. Search surfaced counterfeit clones eleventymilanostore.shop, eleventymilanoshop.shop and eleventymilanohq.shop, all titled 'Official Online Store'."
Incotex,slowear.com,live_store,shopify,shopify_products_json,246,"Incotex has NO standalone store - incotex.it 301s to slowear.com/en-us. Slowear is Incotex's own parent group and the brand's official web home. Count is /collections/incotex/products.json = 246 (whole Slowear store = 722). Ruled out incotexshop.com, which titles itself 'Incotex Official Website' but carries '(c) 2026 incotexshop.com' and no brand entity."
Jack Victor,jackvictor.com,live_store,shopify,shopify_products_json,400,"(c) 2026 Jack Victor. products.json = 400, sitemap 386."
Brooks Brothers,brooksbrothers.com,live_store,salesforce_commerce,sitemap_products,2206,Copyright 2026 Brooks Brothers. products.json 404; sitemap_index.xml -> sitemap_0-product.xml = 2206.
J.Press,jpress.com,live_store,shopify,shopify_products_json,2686,"jpressonline.com 301s to jpress.com - use jpress.com. products.json = 2686, sitemap agrees (2687)."
Sunspel,sunspel.com,live_store,shopify,shopify_products_json,1015,(c) Sunspel 2026. products.json = 1015.
Margaret Howell,margarethowell.co.uk,live_store,shopify,shopify_products_json,363,"(c)2026 MARGARET HOWELL. Shopify (cdn.shopify.com + sitemap_agentic_discovery.xml). No US storefront - .co.uk is the brand's own shop. /products.json 200 = 363. sitemap_products_1.xml returns non-200 to a same-origin fetch, so products.json is the reliable channel."
Reiss,reiss.com,live_store,custom,sitemap_products,5591,(c) 2026 Copyright (footer). No Shopify/SFCC/Magento markers. /sitemap.xml AND /sitemap_index.xml both 404; robots.txt declares /sitemap-index.xml = 324 GZIPPED per-locale children. reiss-US-EN-Products.xml.gz = 5591 (decompressed in-browser). The parallel reiss-US-EN-Hreflang-Products-1.xml.gz = 7937 is inflated by locale alternates - use 5591. /products.json 404.
Sandro,us.sandro-paris.com,live_store,salesforce_commerce,sitemap_products,454,Copyright (c) 2026 Sandro. Demandware markers. US locale on its own subdomain. /sitemap.xml 404; /sitemap_index.xml -> sitemap_0-product.xml = 454. /products.json 404.
Isabel Marant,isabelmarant.com,live_store,shopify,shopify_products_json,1485,Title 'ISABEL MARANT Boutique en ligne officielle'; www 301s to the apex. Shopify. /products.json paginated = 1485. Sitemap index has 799 children - almost all locale duplicates - so products.json is the cheap channel. Footer renders no copyright string.
Frame,frame-store.com,live_store,shopify,shopify_products_json,1590,"(c) FRAME. Note the domain is frame-store.com, not frame.com. Shopify; /products.json paginated = 1590. Sitemap index = 739 children (heavy multi-locale duplication)."
Theory,theory.com,live_store,salesforce_commerce,sitemap_products,1159,(c) 2026 Theory. Demandware/SFCC. /sitemap.xml 404; robots.txt points to /sitemap_index.xml (3 children). sitemap_1.xml = 1731 URLs of which 1159 are PDPs (/<SKU>.html). /products.json returns 410 Gone.
Rag & Bone,rag-bone.com,live_store,salesforce_commerce,sitemap_products,768,"(c) 2026 rag & bone. SFCC. /sitemap_index.xml has only sitemap_0-image.xml and sitemap_1.xml - no file with 'product' in its name. sitemap_1.xml = 1119 URLs, 768 of them /p/<slug>-<SKU>.html PDPs. /products.json 404."
John Varvatos,johnvarvatos.com,live_store,salesforce_commerce,sitemap_products,1001,"(c) John Varvatos, 2025 (stale year in footer). SFCC. /sitemap_index.xml -> sitemap_0-product.xml = 1001. /products.json 404."
Sid Mashburn,shopmashburn.com,live_store,shopify,shopify_products_json,3750,"WRONG-DOMAIN RISK: sidmashburn.com 301s to shopmashburn.com/pages/sid-mashburn - the store lives at shopmashburn.com. (c) 2026, SID MASHBURN. Shopify; /products.json paginated = 3750, but that is the COMBINED Sid Mashburn + Ann Mashburn catalogue on one storefront, not Sid-only."
Billy Reid,billyreid.com,live_store,shopify,shopify_products_json,481,(c) 2026 Billy Reid. Shopify. /products.json paginated = 481. sitemap_products_1.xml refuses a same-origin fetch; products.json is the channel.
A.P.C.,apc-us.com,live_store,shopify,shopify_products_json,1290,(c) copyright 2026; title 'Designer Clothes... | A.P.C.'. This is the US storefront (apc-us.com); apc.fr is the separate French one. Shopify; /products.json paginated = 1290.
Luca Faloni,lucafaloni.com,live_store,custom,sitemap_products,760,"Custom Next.js storefront, no commerce-platform markers. Root lands on /en/us. /products.json returns 403. /sitemap.xml is a one-entry index pointing at /server-sitemap-index.xml = 67 per-locale files; /en/us/server-sitemap.xml = 961 URLs of which 760 are /shop/<slug> product pages."
120% Lino,120percento.com,live_store,shopify,shopify_products_json,128,"WRONG DOMAIN RULED OUT: 120lino.com is a GoDaddy 'for sale' parking page ($9,995), not the brand. The real US store is 120percento.com - (c) 2026 120% Lino US, All rights reserved. Shopify; /products.json = 128. EU sibling at eu.120percento.com."
Paul Smith,paulsmith.com,live_store,custom,sitemap_products,3635,"No Shopify/SFCC/Magento markers; sitemaps served from an app route /api/sitemaps/<locale>.xml. TRAP: /api/sitemaps/us.xml returns 200 with a VALID BUT EMPTY <urlset> - a silent false zero. Everything lives in /api/sitemaps/base.xml: 4590 URLs, of which 3635 are root-level product slugs (the rest are /discover, /stores, /info, /mens, /womens sections). /sitemap.xml 404."
Officine Générale,us.officinegenerale.com,live_store,shopify,shopify_products_json,496,(c) OFFICINE GENERALE 2026. officinegenerale.com redirects to the us. subdomain. Shopify; /products.json = 496.
Brax,brax.com,live_store,custom,none_found,0,"(c) 1999-2026 BRAX STORE GMBH & CO. KG. Locale-prefixed store; US at /en/us. NO USABLE FEED: /en/us/sitemap.xml is a valid index declaring /en/us/sitemap/category/, /product/ and /content/, but every one of those children returns HTTP 400 Bad Request (Tomcat error page) - and so do the /de/de equivalents, so it is broken globally, not US-gated. /products.json 404. Census would need a rendered category crawl."
