brand,names_technology,origin,marks_found,source,note
Finisterre,yes,licensed,Yulex(R); REPREVE(R); NetPlus(R); ECONYL(R); SEAQUAL(R); Seawool(R); CORDURA(R); COOLMAX(R); TENCEL; LYCRA,census,
Faherty,yes,both,Legend(TM) [house]; Supima(R); TENCEL(TM); LENZING(TM) ECOVERO(TM); REPREVE(R); LYCRA(R); Thermore(R); COOLMAX(R); PrimaLoft(R); Sorona(R); CIRCULOSE(R); REVIVA(TM); Livaeco(TM); Naia(TM); SeaWool; Creora(R); Horween(R); DriTan(TM),census,
Rodd & Gunn,yes,licensed,Good Earth Cotton(R); FibreTrace(R); EcoVerde(R); 3M Thinsulate(R); Vibram(R); Teflon(R); Supima(R); TENCEL; LYCRA,census,
Rowan,yes,licensed,Supima(R); TENCEL,census,
Mizzen+Main,yes,both,COOLMAX(R); Supima(R); TENCEL(TM)/LENZING(TM); THERMOLITE(R); PrimaLoft(R); TurboDry(TM) [house],census,
State & Liberty,no,none,,census,
Rhone,yes,both,Commuter; DreamGlow; DreamState; Flex-Knit; GoldFusion; Pursuit; Quantum; Reign; TENCEL Lyocell,origin_8,
J.Lindeberg,yes,both,PrimaLoft Silver; Polartec Power Stretch; Schoeller; Coolmax; Thermore; Solarcore; Lycra; TENCEL; TX Jersey (house); VX RE:SKI (house),census,
TravisMathew,yes,house,HEATER SERIES (house); CLOUD (house); Featherweight (house); Performance Jersey (house); TENCEL,census,
Malbon,yes,licensed,GORE-TEX; Sorona; Lycra; TENCEL; adidas ULTIMATE365 (stocked adidas product),census,
Redvanly,yes,,ElementPROOF; ActiveSCUBA; PurePoly; MatchlessMerino; LuxThermal; ComfortSport; StretchKnit; ComfortChino; ActiveRib; TotalWool; LuxWOOL; MarineGrade; LightWARM,flag_sample,
RLX,yes,licensed,COOLMAX,census,
johnnie-O,yes,both,PREP-FORMANCE (house); Featherweight (house); Linxter (house); PrimaLoft; Alcantara; COOLMAX; TENCEL,census,
Percival,yes,licensed,"TENCEL (Lyocell); plus unnamed generic claims: ""waterproof"" 99x / ""technical fabric"" 11x / ""membrane"" 1x",census,
Wax London,no,,"none (generic ""three-layer technical fabric"", ""8,000mm waterproof rating"", ""Technical Canvas"", ""Water Repellent Twill"" - no branded mark)",flag_sample,
Hiroshi Kato,yes,house,DENIT(R); 4-WAY STRETCH SELVEDGE(R),census,
Sugar Cane,yes,both,SUGAR CANE FIBER DENIM (Japanese: sato-kibi denim); named variants Okinawa Lot. 301 and Hawaii Lot. 401; AWA-AI / Awa indigo (natural indigo); licensed: TENCEL,census,
Buck Mason,yes,both,"Toughknit(TM) (house); PrimaLoft(R), Supima, TENCEL, Bemberg(R) (licensed)",census,
Wythe,yes,licensed,"Tencel - LICENSED (Lenzing fibre brand), 24 of 297 feed products and 5 of 120 PDPs; used as a fabric NAME IN PRODUCT TITLES, not only in a composition line: 'Tencel Gabardine Western Pant', 'Printed Corral Plaid Tencel Ranch Jacket', and in prose 'we've been working with this tencel gabardine fabric",census_followup,
AYR,yes,,CORDURA,flag_sample,
Alex Mill,no,none,,screen_36,
Robert Barakett,yes,licensed,"TENCEL(TM) (licensed); ""Soft Water Finishing"" (house-named finishing process); unnamed generic ""water-repellent"" 1x",census,
Easy Mondays,yes,licensed,"Lycra - LICENSED (Invista fibre brand), on exactly 1 of 23 products, and ONLY as a composition line: '- 97% Cotton - 3% Lycra' on the Stretch Chino. MARKED composition_only. NOTHING ELSE: 0 TM/(R) glyphs or entities across all 23 PDPs and 90 content/collection pages; 0 hits for gore-tex, primaloft, ",census_followup,
Indochino,yes,licensed,"Lycra, TENCEL; Reda (Italian wool mill) named only in an image filename/alt on the fabrics page",census,
Proper Cloth,yes,,Coolmax (licensed); Loro Piana (licensed); Olmetex performance fabric,flag_sample,
Tecovas,yes,both,HOUSE: Muckoff Tread; Total Energy Command (TEC) Rubber Outsole. LICENSED: SUPIMA; REPREVE; COOLMAX / ECOMADE COOLMAX; LYCRA; PrimaLoft Silver; TurtleSkin; Stevensons H2O EverWax; Mossy Oak Original Bottomland / Original Break-Up; 3D Fit System; TENCEL,census,
Patrick James,no,none,,screen_36,
Barbour,yes,house,HOUSE: Sylkoil (waxed cotton); Thornproof (waxed cotton); Thermo Weave. LICENSED: none found,census,
Baracuta,yes,both,HOUSE: Baracuta Cloth. LICENSED: COOLMAX; Thermore,census,
Filson,yes,both,HOUSE: Tin Cloth; Shelter Cloth; Mackinaw Wool; Rugged Twill; Cover Cloth; Oil Finish; Dry Finish; Rain Cloth. LICENSED: PrimaLoft (incl. PrimaLoft Silver); CORDURA; YKK and YKK AquaGuard; TENCEL; COOLMAX; LYCRA,census,
James Perse,yes,,PrimaLoft (R); Supima (R); Lycra (R); TENCEL,flag_sample,
Y.Chroma,yes,licensed,Thindown,screen_36,
Madhappy,no,none,"none on the house label. TENCEL recorded, composition_only (2 products)",census,
Kith,yes,licensed,"LICENSED, all on 'Kith for X' co-branded goods: Oakley Prizm / O Matter / Unobtainium; Salomon Contagrip / QuickLACE; OrthoLite; ASICS GEL-KAYANO / GEL-NIMBUS / FLUIDRIDE; TUMI Tracer; YETI MagSlider / DuraSip; Fender Stratocaster / ClassicGear; Yellowpop CertiLED. Plus LYCRA, composition_only. HOUS",census,
Aimé Leon Dore,yes,licensed,GORE-TEX; Vibram; Sorona; waterproof; water-repellent; ripstop,census,
Massimo Dutti,yes,licensed,Masters of FLAX FIBRE(R) / European Flax-Linen; REGENAGRI(R); STARFIT(R); 'technical fabric',census,
Vineyard Vines,yes,both,Sankaty; On-The-Go; Saltwater; brrr; Dreamcloth(R); Shep Shirt(R); Edgartown; Harbor Shirt; THERMOLITE(R); COOLMAX(R); REPREVE(R); Basolan; TENCEL,census,
Polo Ralph Lauren,yes,both,PUREPRESS(R); Better Cotton(R); 3M Thinsulate(R); CORDURA(R); COOLMAX(R); Vibram(R); Super-LumiNova(R); British Millerain(R); Alsavel(R); water-repellent; four-way stretch; moisture-wicking,census,
RRL,no,none,,screen_36,
J.McLaughlin,yes,,Catalina Cloth (R),flag_sample,
Peter Millar,yes,both,Summer Comfort; Crown Sport; Crown Crafted; Crown Comfort; Excursionist; Perth; Seaside; Hyperlight; four-way stretch; UPF; TENCEL,census,
Ted Baker,yes,licensed,TENCEL; LYCRA; BCI (Better Cotton Initiative),census,
Scotch & Soda,no,,"none (generic ""Water-repellent"" finish claim only, no branded mark)",flag_sample,
NN07,yes,licensed,PrimaLoft,screen_36,
Samsøe Samsøe,yes,licensed,"GORE-TEX; WINDSTOPPER; PrimaLoft; Thermore (EVOdown, ThermoPlume); TENCEL; LENZING ECOVERO; Naia; CIRCULOSE; European Flax; Manteco MWool; Oleatex",census,
Les Deux,yes,licensed,PrimaLoft,screen_36,
Norse Projects,yes,licensed,GORE-TEX; GORE-TEX WINDSTOPPER; Pertex Quantum; CORDURA; SOLOTEX; Alpinix; 37.5; TENCEL,census,
Vollebak,yes,licensed,Cordura; Dyneema; Schoeller c_change,origin_8,
Stone Island,yes,licensed,-TC (Tinto Capo); Corrosion Treatment; Crinkle Reps; David-TC; ECONYL; GORE-TEX; Micro Reps; Nylon Metal; PrimaLoft; Raso Gommato; S.I. Ghost,origin_8,
A Bathing Ape,yes,licensed,GORE-TEX; WINDSTOPPER (GORE-TEX Labs),screen_36,
Canada Goose,yes,,Arctic Tech (house);Recycled Organic Arctic Tech;HyBridge (house);Thermal Experience Index / TEI (house),flag_sample,
Arc'teryx,yes,both,"Arato; Coreloft; Down Composite Mapping; Fortius; GORE-TEX (PRO, ePE); Hadron; PrimaLoft; Tyono",origin_8,
Vince,no,none,"none (the only trademarked material name in the men's corpus, Acetate Renew™, is on stocked CHIMI eyewear - not Vince's)",census,
Rails,yes,licensed,TENCEL; Lycra,census,
Club Monaco,yes,both,CMTECH Collection (house); CORDURA; COOLMAX; ECONYL; Lycra; Manteco,census,
PAIGE,yes,both,TRANSCEND (house); Transcend Vintage (house); Supima; TENCEL; Lycra,census,
AG,yes,both,AG-ed(TM); AG Cloud Soft Denim(TM); Airluxe(TM) / Airluxe(TM) Sateen; AG Ultimate Stretch Fabric(TM); AG Vapor Wash(TM); Tencel Power Denim; Thermolite(R) Indigo Denim; TENCEL(R),census,
Ksubi,no,,none,flag_sample,
Purple,yes,licensed,"Primaloft; Lycra (composition_only); Tencel / Carbon Zero Tencel (composition_only); ""Water Repellent"" finish descriptor",census,
Diesel,yes,both,"JoggJeans(R); TENCEL(TM); Supima; Lycra; Diesel(R) (housemark, not a technology)",census,
Citizens of Humanity,yes,both,"House fabric-facet names: Perform Denim; Cashmere Denim; Archive Denim; Luxury Cotton Twill; Soft Weft; Comfort Stretch; Sueded Fleece; French Terry. Licensed/fibre: Tencel Lyocell (composition_only); Supima (composition_only); Lycra (composition_only). Also ""technical fabric"" 1",census,
AGOLDE,yes,both,House fabric names: Weightless; Flyweight; Weightless Stretch; Comfort Stretch; Rigid; Non Stretch; Regenerative Cotton. Licensed: LYCRA(R) / Bio-derived LYCRA(R) EcoMade fiber (AGOLDE x LYCRA(R) EcoMade Fiber Collection); Tencel Jersey / TENCEL (composition_only in percentage lines),census,
Fidelity Denim,yes,none,,screen_36,
Joe's Jeans,yes,both,"House: AIRSOFT(TM) (site says ""a Joe's trademark""); Kinetic; Kinetic Soft; Flawless; Weightless; Vintage Stretch; Heirloom Denim; Denim Comfort Stretch; Denim Super Stretch; Denim Rigid; Earth Conscious. Licensed: LYCRA(R); ""Made with LYCRA(R)""; dualFX(R); T400 (composition_only); Tencel (compositio",census,
Suitsupply,yes,both,LICENSED/third-party mills: Vitale Barberis Canonico; Albini; Rogna; Di Sondrio; Cervotessile; E.Thomas; Weba; Reda; Testa 1919; Ferla; Baird McNutt; Thomas Mason; Pontoglio; Beste; Candiani; Silk Pro; Sidogras; Fermo Fossati; Libeco; Colombo; Opera Piemontese; Lanificio Ermenegildo Zegna; Canepa; P,census,
Boggi Milano,yes,both,"LICENSED: PrimaLoft(R); TENCEL(R) / LENZING(TM) ECOVERO(TM); Cashwool(R) (Zegna Baruffa); Thindown; Bemberg(R); Alcantara; Vitale Barberis Canonico; Drago; Albini; Reda; Loro Piana (mill credit); Lycra; Supima. HOUSE: WOOLTECH; B Tech line; B-Jersey; plus named treatments non-iron, easy care, wrinkl",census,
Hackett,yes,licensed,"LICENSED: Loro Piana (17 PDPs, 'woven in Italy by Loro Piana'); Alcantara (5); Thermore (1). Generic house descriptors only: water-repellent, breathable, quick dry, easy care, waterproof backing membrane",census,
Eton,yes,both,"HOUSE (shipped as structured product fields): functionName taxonomy - Wrinkle Resistant, Luster, Natural Stretch, Cooling, Warming, Garment Wash, Soft touch, Breathable, Water-repellent, Absorbing, Naturally crease resistant, Smooth feel, Rich/Heavy texture; fabricName taxonomy - Signature Twill/Pop",census,
Rakho,no,none,,screen_36,
Eleventy,yes,licensed,"LICENSED: Rain System(R) (Loro Piana; also spelt 'Rain Stystem' on one product); Zelander(R) dream by Loro Piana; Loro Piana (mill credit, 19 products); Zegna fabric (43); Alcantara (44); TENCEL (13); Lycra. No house fabric or treatment name found",census,
Incotex,yes,both,HOUSE: Royal Batavia (19); Chinolino (12); Teknosartorial line (10); Tekno Twill (4); Teknotela (5); Tropical Wool (7). LICENSED: SUMMERTIME fabric by Loro Piana (1),census,
Jack Victor,yes,both,"DREAM(tm) [house]; COMFORTWEAR(tm) [house]; Loro Piana [licensed]; Storm System [licensed, Loro Piana]; Lycra; elastane; water-repellent",census,
Brooks Brothers,yes,both,HOUSE: Saxxon(tm) Wool; Non-Iron; Golden Fleece(R); Advantage Chino(R); Signature 6-Pleat Shirring(R); Original Polo(R); BrooksEase; BrooksCool. LICENSED: Supima(R); Thomas Mason; Loro Piana(R); Storm System; Thermore(R) EVOdown; Ecodown(R); OrthoLite(R); COOLMAX(R); Vibram(R); Lycra(R). APPELLATION,census,
J.Press,no,none,"On house goods: NONE. Harris Tweed 7 (licensed protected cloth appellation, not a performance technology); Shaggy Dog 15 (house garment name, never carries (R)); York Street 1 (sub-line); merino 21 / elastane 2 composition_only. All true technology marks on the site sit on STOCKED third-party labels",census,
Sunspel,yes,both,HOUSE: Q82; Riviera. LICENSED: Supima; TENCEL(tm); SEAQUAL(R); Ventile(R); Loro Piana. APPELLATION: Sea Island Cotton; Sea Island Cashmere,census,
Margaret Howell,yes,licensed,GORE-TEX [licensed]; Tencel [licensed]. Zero trademark symbols anywhere in the catalogue. MHL. and London Workroom are NOT fabric names,census,
Reiss,yes,both,"HOUSE: Air-Water finish. LICENSED: TENCEL(tm). Generic/unbranded: technical fabric, water-repellent, elastane",census,
Sandro,no,none,,screen_36,
Isabel Marant,no,none,,screen_36,
Frame,yes,licensed,"ROICA V550(R) [ROICA V550®]; Candiani (mill, named); Supima; TENCEL",census,
Theory,yes,house,"House fabric names: Precision Ponte, Good Linen (Good Wool elsewhere on site), Regal Wool, Moonsoft Cotton, Light Bilen, Neoteric Twill, Motion Wool / Motion Wool Twill / Motion Nylon / Motion Poplin, Relay Jersey, Anemone Modal Jersey, Cosmos Slub Cotton, Kelso Nylon, Pacific Linen, Plush Melton, S",census,
Rag & Bone,yes,licensed,"OrthoLite(R) [dual-layer OrthoLite®]; Lycra; 'technical fabric' (descriptive, unbranded)",census,
John Varvatos,no,none,,screen_36,
Sid Mashburn,yes,licensed,"Tana Lawn(R) [Liberty Fabrics' Tana Lawn®]; Lycra; 'water-repellent' (descriptive, dry-waxed poplin)",census,
Billy Reid,yes,licensed,Loro Piana; Dormeuil; Stylbiella (named as 'Our Go-To Fabric Mills'); 'water-repellent' (descriptive),census,
A.P.C.,no,none,none; 'water-repellent' appears 9 times as a plain descriptive adjective and is not a mark,census,
Luca Faloni,yes,licensed,Supima (craft/cotton editorial page only); no garment technology; 'exclusive technical fabric' unnamed,census,
120% Lino,no,none,none,census,
Paul Smith,yes,,Loro Piana 'Storm System' (licensed); Loro Piana Green Storm System membrane,flag_sample,
Officine Générale,yes,licensed,PrimaLoft; TENCEL; cupro; lyocell; elastane; 'water repellent' (unnamed finish),census,
Brax,yes,both,Hi-FLEX (house); ULTRALIGHT (house); THERMO / Thermo-Hose (house); 'Blue Planet' (house sustainability label); THERMORE(R); Coolmax(R); LYCRA(R); 37.5(R); TENCEL(TM); LENZING(TM) ECOVERO(TM); Cotton made in Africa; SEAQUAL(R),census,
Hartford,yes,licensed,"Liberty(TM) / Tana Lawn(TM); TENCEL; Supima; LENZING ECOVERO(TM); EUROPEAN FLAX(TM); OEKO-TEX(R); FSC(R); GOTS; 'tissu deperlant' and 'tissu technique' (generic, unnamed)",census,
Our Legacy,yes,both,GORE-TEX; CORDURA(R); POLARTEC(R); PrimaLoft(R); PERTEX(R); Thinsulate; Thermore; Loro Piana (LICENSED per standing rule); Japanese Octa(TM); Auralite(TM); Solotex(R); Polygiene StayFresh(R); EcoLife(R); OEKO-TEX(R); Vibram(R); Horween(R); YKK; Lampo; riri; Framis(TM); plus house/collab names Justic,census,
Auralee,no,,none,flag_sample,
Ami Paris,no,none,,census,
Todd Snyder,yes,,Ventile; TENCEL; Loro Piana (mill attribution),flag_sample,
Boglioli,no,none,,screen_36,
Peserico,yes,,Loro Piana Storm System(R) (licensed); internal membrane,flag_sample,
Ring Jacket,no,none,,screen_36,
Drake's,yes,licensed,Fresco(R); Supima; Lycra,census,
John Smedley,no,,none (only Sea Island Cotton - a named/protected fibre appellation rather than a performance technology),flag_sample,
Gran Sasso,yes,,Teflon; Rain Wool; Alcantara; Super Tasmania,flag_sample,
Johnstons of Elgin,yes,licensed,Lycra,census,
Raffi,yes,house,"Aqua Cotton - HOUSE fabric name, in 72 of 214 product descriptions, written in the composition position as the material itself: 'a dash-printed button-front shirt in 100% Aqua Cotton', 'a mini-triangle printed polo in 100% Aqua Cotton', 'in soft Aqua Cotton'. It is also a product tag on 68 records a",census_followup,
BOSS,yes,both,NovaPoly(TM); GORE-TEX; Alcantara; Loro Piana; XL EXTRALIGHT(R); Supima,census,
Corneliani,yes,licensed,PrimaLoft (brand page only; no shoppable PDP found),screen_36,
Canali,yes,house_named,Rain & Wind (membrane); Rain Protection (treatment); Impeccabile,screen_36,
Thom Browne,yes,licensed,Supportive GEL(TM); Supima,census,
Burberry,yes,,"Burberry cotton gabardine (house, shower-resistant)",flag_sample,
Herno,yes,both,"WINDSTOPPER; Loro Piana Storm System; Polartec; GORE-TEX (2L/3L, Laminar); Nylon Ultralight; Nylon Chamonix",screen_36,
Valstar,yes,licensed,"Storm System - LICENSED (Loro Piana's mark; standing rule: a Loro Piana mark on a house that is not Loro Piana is licensed). 1 of 515 catalogue products: 'crafted from a refined blend of virgin wool and technical jersey. Thanks to the Storm System treatment, the fabric is water- and wind-resistant w",census_followup,
Aspesi,yes,licensed,Thermore,screen_36,
Paul & Shark,yes,,Typhoon(R); Typhoon(R) Platinum; Aqualeather(R); Save The Sea,flag_sample,
Sease,yes,both,"LICENSED: WISH(R) and WOOLWISH(R) (Loro Piana wool marks); Rain System(R) (Loro Piana finish); Thermore(R) and Thermore Ecodown(R); Alcantara(R); Cordura(R); Dyneema(R); Dermizax(R); Thindown(R); RECCO(R); YKK(R) and YKK Aquaguard(R); Velcro(R); Supima. HOUSE: Solaro, sold as ""SEASE's iconic Solaro(",census,
Moncler,yes,licensed,"LICENSED: GORE-TEX(R) (incl. GORE-TEX INFINIUM(R) and 'WINDSTOPPER by GORE-TEX'); WINDSTOPPER(R); Polartec(R) (incl. Polartec Power Grid(R), Polartec Alpha(R), Polartec Delta(R)); PrimaLoft(R); CORDURA(R); Teflon(R); Alcantara(R); Dermizax(R); Dyneema(R); OrthoLite(R); Vibram(R); RECCO(R); YKK(R), Y",census,
Ferragamo,no,,none,flag_sample,
Giorgio Armani,no,none,"No named fabric or membrane technology, licensed or house, on the Giorgio Armani men's line. The only term-list matches are unnamed generic descriptors: 'technical fabric' (18 PDPs) and 'water-repellent' (11 PDPs). Zero mill, membrane, insulation or branded-fibre marks; zero house fabric names.",census,
Missoni,no,,none,flag_sample,
Etro,no,none,"Nothing. Zero named fabric or membrane technologies, licensed or house, and zero trademark symbols of any kind. The single term-list hit in the whole US catalogue is one unnamed 'water-repellent' descriptor on one product.",census,
Versace,no,,none,flag_sample,
Dolce&Gabbana,yes,licensed,"LICENSED, and only two, both branded fibres named in descriptive copy rather than in a composition line: Lycra(R) ('High swim briefs in eco Lycra') on 1 product, and Supima(R) ('made of fine Supima cotton') on 1 product. TENCEL appears once whole-page only and on no product slice, so it is not credi",census,
Fendi,yes,licensed,LYCRA(R); Bananatex(R); Berto Industria Tessile abaca denim,census,
Valentino,no,none,none (only generic 'Technical Fabric' as a material descriptor on 2 bags),census,
Saint Laurent,no,none,none (generic 'water-repellent' in 3 product names/descriptions),census,
Celine,no,none,,screen_36,
Givenchy,unclear,none,"none found in 236 of 401 men's styles read. Zero named fabric or technology marks, house or licensed. Only generic lower-case descriptive prose: 'technical fabric' (5), 'water-repellent' (2). Compositions are plain fibre percentages throughout (wool, cotton, polyamide, polyester, viscose, cupro, ace",census_followup,
Gucci,yes,licensed,NATIVA(TM) wool,census,
Balenciaga,no,none,,screen_36,
McQueen,no,,none,flag_sample,
Maison Margiela,yes,licensed,GORE-TEX (MM6 x Salomon); Ambrox(R) (fragrance),census,
Rick Owens,yes,both,"LICENSED: CORDURA (9 men's products, named in the description as 'CORDURA COTTON' on the SS26 Temple GETH jeans/cargo); ECONYL(R) (2 men's, 14 catalogue-wide, 'MADE USING ECONYL(R) RECYCLED POLYAMIDE' on swimwear); Lycra (4 men's, named in the stretch-leather description 'BONDED TO A COTTON AND LYCR",census,
Yohji Yamamoto,yes,licensed,"Thinsulate (Y's for men line, not Pour Homme)",screen_36,
Comme des Garçons,unclear,unclear,"Nothing on the brand's OWN domain, but the own-domain zero fails its controls (see searched) so it is not reportable as a zero. On the fallback channel - the Dover Street Market E-Shop, run by Comme des Garçons' own retail company - the CDG house men's assortment names exactly one: LICENSED CORDURA,",census,
Junya Watanabe,unclear,licensed,"No own store exists, so nothing can be credited to an own site. On the channel where the goods actually sell - the Dover Street Market E-Shop - the Junya Watanabe assortment does name technology, all of it LICENSED and all of it arriving through collaborations: DryVent(TM) (The North Face's propriet",census,
Sacai,no,none,,screen_36,
Casablanca,no,none,"Nothing. Zero named fabric, membrane, insulation or branded-fibre technologies, licensed or house, across the men's line, and zero trademark symbols of any kind anywhere in the catalogue. The only term-list match is the unnamed generic descriptor 'Technical fabric' on 5 men's products (6 catalogue-w",census,
Jacquemus,no,none,"Nothing. Zero named fabric, membrane, insulation or branded-fibre technologies, licensed or house, across the men's line, and zero trademark symbols of any kind. The only term-list matches are two unnamed generic descriptors: 'technical fabric' on 4 products (windbreakers and the Curvo jacket - 'Tex",census,
Prada,yes,both,Extreme-Tex; Graphene; Re-Nylon (GORE-TEX on Linea Rossa accessories only),screen_36,
Loewe,yes,licensed,"LICENSED, and exactly one: CORDURA, on a single men's product - 'Jacket in medium-weight technical cordura shell featuring a layered construction with detachable padded check lining'. It is written lower-case and carries no (R), but Cordura is Invista's registered fabric mark and it is named in the ",census,
JW Anderson,no,none,,census,
Dior,yes,house,"Dior Oblique jacquard; Dior Gravity (leather); technical fabric; water-repellent; water-resistant; [motif, not counted as cloth: Cannage, Toile de Jouy]",census,
Amiri,no,,none,flag_sample,
Rhude,yes,licensed,"Riri (Swiss zipper maker) - LICENSED component mark, 26 of 341 PDPs, e.g. 'custom Riri zippers' in the PDP meta description. NO FABRIC OR TEXTILE TECHNOLOGY IS NAMED ANYWHERE: 0 hits for every term on the list (gore-tex, primaloft, cordura, thinsulate, coolmax, tencel, supima, lycra, membrane, water",census_followup,
Palm Angels,no,none,,screen_36,
Golden Goose,no,none,,screen_36,
Fear of God,no,,none,flag_sample,
Bode,no,none,,screen_36,
Greg Lauren,no,none,,screen_36,
Visvim,yes,both,"GORE-TEX(R); CORDURA(R); WINDSTOPPER; SUPIMA; Vibram(R); riri(R) (Swiss riri); CROWN (vintage zips); Lonfresh; house: Mawata, Katazurizome, Gara-bou, Kasezome, Doro-zome, Cevian-ori, Nishijin-ori, Kurume Kasuri, Tango Chirimen, visvim harmonious process, Goodyear welt",census,
Tom Ford,no,none,,census,
Ralph Lauren Purple Label,yes,licensed,Ventile,screen_36,
Zegna,yes,both,"House cloths: Trofeo(R), 15milmil15, Oasi Cashmere, Oasi Lino, Cashseta, Cashco, Premium Cotton, High Performance(R), Vellus Aureum, ACHILLFARM(R), Traceable Wool, Pelle Tessuta, Secondskin, Crossover. House construction: Triple Stitch(TM). Licensed: Sanitized(R), Vibram(R), Litebase(R), Megagrip(R)",census,
Bottega Veneta,yes,both,BioBasedLeather(R); VN Preserve; Intrecciato; Intreccio; technical fabric; water-repellent; waterproof; nappa; Lycra (composition_only),census,
Berluti,yes,house,"Venezia Calf Leather (house, proprietary leather with its own materials page); generic descriptors only otherwise: waterproof, membrane, water-repellent; NO licensed third-party marks; NO trademark symbols anywhere",census,
Charvet,unclear,none,"NOTHING - and there is nothing to look at. charvet.com is a single holding page. After stripping the inline SVG logo, the entire <body> is 444 bytes: one logo, a mailto:contact@charvet.com link and a link to instagram.com/charvet_official. document.body.innerText is 1 character. The site's own inter",census_followup,
Husbands,no,none,,screen_36,
Brioni,yes,both,"House fabric names: Zefiro, Trama (weave), Iride. Licensed: Escorial wool (Escorial is a third-party wool trademark). Generic: water-repellent, waterproof, membrane, technical fabric, vicuna. NO trademark symbols anywhere on the site.",census,
Isaia,yes,both,"House fabric names: Aquaspider, Aqua (water-repellent family), Storm, Scuba Wool Comfort, Filo di Corallo, Cashmoleskin, Cottoncash, Techno Cotton Silk, Fibra Carbonio. Licensed: Cashwool (Zegna Baruffa's extrafine merino yarn trademark). NO trademark symbols anywhere on the site.",census,
The Row,yes,licensed,"Supima (licensed US cotton fibre mark) in product descriptions; 'technical fabric' and 'waterproof' as generic descriptors. No house fabric name, no materials/technology page, NO trademark symbols anywhere.",census,
Lemaire,yes,licensed,"Ventile (R) and Harris Tweed (R) - both licensed third-party marks, both printed with the (R) symbol. Generic: water-repellent, technical fabric, waterproof. No house fabric name and no fabrics/technology page.",census,
Jil Sander,yes,licensed,Vibram; Lycra (composition_only); water-repellent (generic descriptor),census,
