brand,why_flagged,technical_filter,named_technology,origin,technical_titles,products_seen,source_url,notes
Ring Jacket,one-thing is outerwear,no,,none,0,2,https://www.ringjacket.co.jp/c/coat,"base=mens_outerwear. Own e-commerce exists but it is Japan-only (JPY, no US/English region). Coat category has 2 items (cashmere, camel). Facets are category/price/stock only. The house Balloon fabric name shows up on trousers, outside outerwear, and was not counted. FALSE-NEGATIVE SWEEP 2026-09-12: Confirmed, but note the outerwear catalogue is currently near-empty - the blouson category reads ""no products registered"" - so ""nothing found"" partly reflects an empty shelf rather than a clean one. Japanese-language terms (ゴアテックス, ロロピアーナ) were searched too. NULL-CONTROL RE-CHECK: exact-match search with trustworthy zeros; katakana forms of storm system and Loro Piana both return zero products. Trap recorded: the site echoes the query as a page heading (""Loro Piana Product List""), which reads like a real brand category and would have been reported as a hit - the nonsense control exposed it."
Rakho,synthetics 3,no,,none,0,12,https://www.rakho.nyc/product-category/jackets/,"base=mens_outerwear (rakho.nyc Jackets category, 12 jackets/vests; sort only, no facets). PDPs list fibre content only (nylon, nylon/spandex); small site with template artifacts, no prices visible. FALSE-NEGATIVE SWEEP 2026-09-12: Sorona (DuPont) and Supima appear in compositions - shirts at 57% Supima / 43% Sorona, trousers 100% Sorona, roughly 31-40 products. Fibre brands in a composition line, so left as none under the standing rule; none of the 19 weather-protection terms returned anything on rakho.nyc."
RRL,one-thing is outerwear,no,,none,0,21,https://www.ralphlauren.com/brands-double-rl-men-shop-all-cg?ns=outerwear&prefn1=CategoryCode&prefv1=Jackets%2C+Coats+%26+Vests,"base=parent_site; Double RL shop-all filtered to Jackets, Coats & Vests on ralphlauren.com; only 21 items (1 page). Facets Category/Size/Color/Price. 3 PDPs (flight jacket, deck jacket, car coat) show heritage materials only. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
Prada,synthetics 4,no,Extreme-Tex; Graphene; Re-Nylon (GORE-TEX on Linea Rossa accessories only),both,19,82,https://www.prada.com/us/en/mens/ready-to-wear/outerwear/c/10136US | https://www.prada.com/us/en/mens/ready-to-wear/outerwear/c/10136US/page/2 | https://www.prada.com/us/en/p/extreme-tex-blouson-jacket/SGB267_1XV1_F0161_S_OOO,"base=mens_outerwear (64 items, first 48). Facets: color/material/size. Count = Technical fabric/cotton/wool titles only. Re-Nylon (recycled nylon, 30 of 48 titles) is treated as a material, not a technology; counting it would give 35. The 3 main-listing PDPs named no technology. Linea Rossa is its own men's section (/mens/prada-linea-rossa/c/10187US, 118 items). It does not appear in the outerwear listing and is excluded from the count. Its Extreme-Tex blouson is described as waterproof 20k, windproof, with taped seams and Graphene® padding (I did not check who owns the Graphene mark). Recount: 0 excludes titles whose only term is bare technical/tech/techno (5 including them). Linea Rossa recount (first 48 of 118, mixed with shoes/eyewear/fragrance): 16 technical titles = 9 Extreme-Tex + 7 bare technical; one GORE-TEX glove at #50. Extreme-Tex ownership not checked. REGISTER CHECK 2026-09-12: Extreme-Tex is registered to PRADA S.p.A. itself - USPTO ""EXT EXTREME-TEX"" Reg 6465653, cl.18/24/25, live, WIPO IR 1540845. House-owned on the name; the register says nothing about who laminates it and no supplier is named. Separately, the Graphene(R) padding on the same page has no registration behind it: no bare GRAPHENE mark for textiles or insulation exists under Prada or an insulation maker, and the cl.25 bare word belongs to unrelated owners. COMPLETENESS SWEEP 2026-09-12: the row was short. A census of the men's Linea Rossa listing (118 products: 37 footwear, 26 eyewear, 34 clothing, 9 fragrance, 8 accessories, 3 hard goods) finds 19 of the 34 clothing items naming a technology - Extreme-Tex 12, Graphene(R) 13 (heavily overlapping), Re-Nylon 6; 15 of 34 excluding Re-Nylon, and only 24 unique clothing styles behind the 34. GORE-TEX appears in Linea Rossa only on accessories (ski gloves, mittens) - the nine GORE-TEX prada.com URLs in the index are FW18/FW19 stock that now redirect to the homepage, so it is Prada history, not a current mark. Re-Nylon is live and large across men's ready-to-wear generally. Extreme-Tex is on the US men's site, not confined to a separate section as first recorded. origin becomes both: Extreme-Tex is registered to Prada S.p.A., Graphene carries an (R) with no registration behind it, and Re-Nylon is Prada's name for regenerated nylon. Trap worth recording: the Graphene claim sits inside a collapsed Product details accordion, so a rendered-DOM scan scores it zero and only the server HTML shows it."
Patrick James,one-thing is outerwear,no,,none,0,31,https://patrickjames.com/collections/outerwear?filter.p.vendor=Patrick+James,"base=mens_outerwear. Multi-brand listing (125 items); own label split out with the Brand=Patrick James facet (31 items; also picks up Reserve and 2 Outlander-titled items). Facets Availability/Color/Product type/Brand/Size/Chest Size/Length/Price. FALSE-NEGATIVE SWEEP 2026-09-12: Confirmed for the own label. Every technology mark on the site - PrimaLoft, water-repellent - belongs to a stocked third-party vendor (Cutter & Buck, Save The Duck, Parajumpers, Faherty) and was excluded using the store's own Patrick James vendor collection (~195 items)."
Palm Angels,one-thing is outerwear,no,,none,0,7,https://www.palmangels.com/en-us/man/clothing/coats-and-jackets/ | https://www.palmangels.com/en-us/search?q=gore-tex,"base=mens_outerwear (only 7 products in US Coats & Jackets). Facets color/size/category/collection. Windbreaker titles not counted (garment type); 3 PDPs show plain polyamide/polyester, no named tech. FALSE-NEGATIVE SWEEP 2026-09-12: NOT a clean confirm - the row is weaker than it looks. palmangels.com search is robots-blocked and every product page refused to render (Farfetch-platform anti-bot), so no Palm Angels product description was ever read. A ski capsule exists on the domain (ski jackets, Ski Club padded tech pants) and that is exactly where a mark would live. Treat as unread rather than empty; needs a re-check by someone who can render the site. RESOLVED 2026-09-12: the main thread rendered palmangels.com where earlier attempts could not. Men's Coats & Jackets = 7 products (Hollywood Windbreaker, Classic Logo Track Down Jacket, two overshirts, Classic Logo Track Jacket, Curved Logo Vintage Track Windbreaker, Tree Logo Check Overshirt) - no technical terms. Site search is alive (control term ""ski"" returns 9 items, all skirts) and returns nothing for gore-tex, primaloft, waterproof or technical. No ski capsule in the US store. Row is now a real confirm rather than an unread one."
Outerknown,synthetics 3,no,,none,0,8,https://www.outerknown.com/collections/mens-outerwear,"base=mens_outerwear; only 8 products (Blanket Snap Popover x4, Woolaroo jacket/vest/hoodie, Blanket Hoodie). Facets: Category/Size/Color/Fit. PDPs show BlanketWeave(TM) cotton twill (a fabric name, not technical) and breathable/quick-dry copy on the Manteco recycled-wool Woolaroo; no named tech FALSE-NEGATIVE SWEEP 2026-09-12: ECONYL (Aquafil) is named across its own ECONYL collection - a recycled-nylon fibre mark, not a performance technology. Left as none under the standing rule that fibre brands do not count unless merchandised as a technical benefit; flagged here because whoever counts sustainability marks separately will want it."
NN07,one-thing is outerwear,yes,PrimaLoft,licensed,9,36,https://www.nn07.com/en/us/jackets | https://www.nn07.com/en/us/blake-8240-jacket-black-235,"base=mens_outerwear; Material facet includes Technical, Water repellant and PrimaLoft(R) options. Model-line namer: titles are a model name plus a descriptor line, and the count uses the descriptor (e.g. Blake - Technical PrimaLoft coat). Blake PDP: PrimaLoft Gold, 10000mm waterproof, seam-sealed. Fenton/Rafael PDPs: generic DWR only Recount: 9 excludes titles whose only term is bare technical/tech/techno (16 including them)."
Les Deux,synthetics 3,no,PrimaLoft,licensed,0,56,https://lesdeux.us/collections/clothing-outerwear | https://lesdeux.us/products/puffer-jacket-black,"base=mens_outerwear (US store lesdeux.us after region switch; 56 of 81 viewed). Facets Size/Price/Fit/Color/Category only. Both technical titles = Varsity Tech Pinstriped Jacket; PrimaLoft Silver loose fill on Puffer Jacket; Padded Parka says wind and water repellent (unnamed). Recount: 0 excludes titles whose only term is bare technical/tech/techno (2 including them). COMPLETENESS SWEEP 2026-09-12: complete - PrimaLoft (Silver loose fill) on the current Puffer Jacket, three colourways, and nothing else on the domain. Provenance caveat worth keeping: lesdeux.us blocks fetching and its own site search does NOT index descriptions - it returns zero for ""primaloft"" while PrimaLoft is written into the product description - so a search-only sweep of this brand produces a false negative. The finding rests on reading product pages in a browser."
Kiton,one-thing is outerwear,no,,none,0,24,https://us.kiton.com/collections/men-coat-jackets,"base=mens_outerwear; us.kiton.com (kiton.com serves IT/EUR). 12 per page, first 2 of 6 pages (61 items). Facets Season/Fabric/Color; Fabric options are plain materials. No Loro Piana marks on 3 PDPs. 1 Windbreaker title not counted. Recount: 0 excludes titles whose only term is bare technical/tech/techno (5 including them). FALSE-NEGATIVE SWEEP 2026-09-12: Own domain is clean across all terms. One live thread for anyone re-checking: resale listings show a Kired (a Kiton-group sub-line) reversible cashmere jacket in Loro Piana Storm System. Corroboration only, not sold on us.kiton.com, and it does not move this row - but it is the same sub-line pattern that caught Herno. KIRED THREAD CLOSED 2026-09-12: Kired is a Kiton-group brand (operating company Wonderland srl, Collecchio), but Kiton does not sell it on us.kiton.com or kiton.com, and kired.it has no product pages at all - so no first-party Kiton source carries it. The Loro Piana Storm System evidence is retailer and resale only, on a ""Peak"" reversible whose style codes (…6818…) read as FW2018; the retailer page is sold out and a second is HTTP 410 Gone, and no currently-selling Kired assortment names Loro Piana. Kiton's own fabrics page names only its own materials and its own mill, Lanificio Kiton Carlo Barbera. Row stands as none. NULL-CONTROL RE-CHECK 2026-09-12: us.kiton.com search returns 235 results for the nonsense string zzzqqxwv, so that search can never return a zero and no zero from it is evidence. This row rests on reading product pages and Kiton's own fabrics page (which names only its own materials and its own mill), not on search. Italianised spellings (storm sistem, rain sistem) were also tried."
John Varvatos,one-thing is outerwear,no,,none,0,41,https://www.johnvarvatos.com/coats-jackets,"base=mens_outerwear (Coats & Jackets, all 41 loaded). Facets: color/size/price only. model-line namer (titles are names like Dolph Coat, Kade Jacket). 3 PDPs (Dolph, Carver, Byrne) show composition only. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
Isabel Marant,one-thing is outerwear,no,,none,0,20,https://us.isabelmarant.com/collections/marant-man-coats-jackets,"base=mens_outerwear. Facet Main Material > technical fabric (4 items). Its PDPs (lyocell, polyamide, poly-wool) make no technical claims. model-line namer. Men's line only. Main thread: set to no - the only candidate facet is Main Material > technical fabric (4 items, no claims), a fibre description under the bare-technical ruling. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
Husbands,one-thing is outerwear,no,,none,0,16,https://husbands-paris.com/en/collections/coats | https://husbands-paris.com/en/collections/blouson,base=mens_outerwear (Coats 12 + Blousons 4; no single outerwear category; USD shown in browser). Facets price/fabric/color/size (plain materials only). Trench/car coat PDPs say Italian water-repellent poly-cotton gabardine but unnamed; also made-to-order. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain.
Greg Lauren,one-thing is outerwear,no,,none,0,36,https://www.greglauren.com/collections/mens-outerwear-1 (pages 1-2),"base=mens_outerwear; the only filter is a Filter-by tag dropdown (season/category/style tags plus cotton and Nylon), with no technical tag. Listing mixes in hoodies and pants. Racer Retro Puffy PDP lists Nomex only in its composition line (upcycled racing gear), not sold as a tech benefit, so not counted FALSE-NEGATIVE SWEEP 2026-09-12: Nomex (DuPont) appears in the composition of about 8 upcycled racing pieces, not sold as a technical benefit. Left as none."
Fidelity Denim,summary says performance,yes,,none,0,48,https://fidelitydenim.com/collections/fidelity-men | https://fidelitydenim.com/products/50-11-gotham | https://fidelitydenim.com/products/jimmy-moss-excel-tw,"base=mens_all (no men's outerwear/jacket category; denim-only). Facet Fabric Type (Performance Stretch, Performance Stretch Twill, Air Knit, etc.). Model-line namer: 0 titles but 15/48 tiles show Performance Stretch in the fabric sublabel; PDPs claim breathability/40% stretch, no mill named. Weakest house_named on the list: Performance Stretch reads as a descriptor, not a proper name; no mill named. CORRECTED 2026-09-12 after the register check: recorded as none, not house_named. ""Performance Stretch"" and ""Performance Stretch Twill"" are descriptive Fabric Type labels printed under product names with no TM or (R), alongside Comfort Stretch, Air Knit, Havana Twill and Excel Performance Denim. Fidelity owns no fabric mark (its only USPTO registration is FIDELITY DENIM, to Fidelity Design House Ltd.), and PERFORMANCE STRETCH is registered for adjacent goods to three unrelated parties - Buckle Brands, Nautica Apparel and Arch Textiles. technical_filter stays yes: the store does filter by that fabric family. COMPLETENESS SWEEP 2026-09-12: one real mark exists - LYCRA (Invista) in the LOCKDOWN line composition, about 5 products. Left as none under the standing rule that a fibre brand in a composition line does not count unless merchandised as a technical benefit, the same treatment given to Rakho's Sorona and Outerknown's ECONYL. Also worth recording for whoever reviews the descriptive ruling: the other compositions say Elastomultiester and Elasterel, which are FTC generic fibre names rather than marks. This brand's site search is unusable - it returns most of the catalogue for every term, including 41 results for ""dyneema""."
Corneliani,one-thing is outerwear,no,PrimaLoft (brand page only; no shoppable PDP found),licensed,3,48,https://www.corneliani.com/en_us/mens-clothing/outerwear-coats.html,"base=mens_outerwear; en_us store. Facets Size/Material/Color/Collection (Milestones, New In, ADV Campaign FW26). Titles mostly generic technical fabric/poplin/wool. No Loro Piana or other marks on 3 PDPs. A Techwool collection facet appears only on the sale listing, not the base. Recount: 3 excludes titles whose only term is bare technical/tech/techno (20 including them). FALSE-NEGATIVE SWEEP 2026-09-12: PrimaLoft is named on Corneliani's own Identity Jacket brand page as the filling of its CASHCOVER fabric. No current shoppable product page naming it could be found - every PDP opened uses in-house descriptors only (techno poplin, technical chiffon, hydro repellent, Techwool). Recorded as licensed because it is named on the house's own site, with the count honestly unknown and possibly zero shoppable products. Weaker than the Herno or BAPE finding. NULL-CONTROL RE-CHECK: Magento search gives real zeros (nonsense string returns ""No products found""), and storm sistem / storm system / membrana all return zero against a live control. Strong negative on Loro Piana marks."
Cesare Attolini,one-thing is outerwear,not_checked,none,none,not_checked,0,https://www.cesareattolini.com/e-boutique,"PARTLY CHECKED - no store to screen, but the house's own pages were read on 2026-09-12. technical_filter and technical_titles are not_checked because no listing or facet panel exists; named_technology=none and origin=none are real findings from the brand's own pages. base=no_ecom. E-Boutique still shows ""E-boutique under maintenance. WE WILL BE BACK SOON""; its category list (trousers, sport pants, shirts, knitwear, ties, scarves, pochette, caps, plaid, bermuda, overshirts, swimwear) has no outerwear/coats category, so no listing and no facet panel exist. Old Shopify outerwear collections /collections/coats-fw, /collections/outwear-fw and /collections/jackets-fw all 404 (confirmed in browser). cesareattolini.us (Cesare Attolini NY) still fails the SSL handshake - WebFetch SSLV3_ALERT_HANDSHAKE_FAILURE, and two browser attempts on www and bare host would not load. Own pages read for named technology: /pages/manufacturing, /collection-fw-26-27, /collection-ss, /pages/fall-winter-2025-2026-timeless-magazine - craft copy and image lookbooks only, no named technology and no Loro Piana marks (Storm System etc.). No retailer sites used. FALSE-NEGATIVE SWEEP 2026-09-12: Confirmed on thin evidence: the store search 404s and the outerwear collection is down, so this rests entirely on domain-restricted web search of the house's own site. NULL-CONTROL RE-CHECK: the site search endpoint is dead too - it returns ""No results for your query"" for a live control term exactly as it does for a nonsense string - so any zero from it is worthless. There is no shoppable catalogue behind the maintenance page. Not re-testable until the boutique returns."
Celine,one-thing is outerwear,no,,none,0,26,https://www.celine.com/en-us/men/ready-to-wear/jackets-and-coats/ | https://www.celine.com/en-us/men/ready-to-wear/suiting/,"base=mens_outerwear. Men's outerwear is split into Coats (6) and Jackets (20, which uses the /suiting/ URL). Facets Prices/Sizes/Colors/Materials/New. Windbreaker, parka and bomber PDPs have no named technology or claims. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
Carhartt,one-thing is outerwear,yes,Rain Defender; Storm Defender; Super Dux; Rugged Flex; Full Swing; Yukon Extremes; Wind Fighter,house_named,12,48,https://www.carhartt.com/c/men-outerwear | https://www.carhartt.com/product/104670/shoreline-jacket,"base=mens_outerwear (48 of 79 seen). Facet TECHNOLOGY (Rain Defender, Full Swing, Rugged Flex, Super Dux, Storm Defender, Yukon Extremes) plus WEATHER and WARMTH RATING facets. Partly model-line namer (Shoreline/Bayou rain jackets uncounted); Force and Smart Heated titles not counted. Carhartt WIP is a separate site, not screened. REGISTER CHECK 2026-09-12: all seven names are registered live to Carhartt, Inc., Dearborn - Rain Defender Reg 4548543, Storm Defender Reg 4502823, Super Dux Reg 5751464, Rugged Flex Reg 4633307, Full Swing Reg 4905822, Yukon Extremes Reg 7019529 and 6223110, Wind Fighter Reg 4919168. No third-party owner anywhere in the set. No ingredient brand is named on the pages that rendered, though carhartt.com is JS-heavy and the technology and Yukon Extremes pages would not load, so an undisclosed membrane or insulation supplier cannot be ruled out either way."
